source_commit,cell_id,scale,selection_replicate,target_fleet_role,target_fleet,trip_count,duty_count,relative_path,instance_file_sha256,duty_set_sha256,duties_json,generator_seed,generator_family,input_validation_scope,study_role,trip_size_stratum_within_scale,direct_compatibility_density_stratum,coarse_representability_stratum,deadhead_density,station_only_bridge_fraction,representable_fraction_soc15_b10,representable_fraction_soc1_b5,service_kwh_per_trip,service_kwh_per_duty,layover_slack_median_min,known_duty_missing_direct_leg_count
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k03_s5,3,5,GIRO_duty_count_comparator_not_assumed_optimum,3,91,3,data/scale_ladder/instances/Practice_Custom_DutyUnion_k03_r5.csv,f46be52d5512d77690c448d4a94415dbf4a2f50ff07745fcdc29c0ab66d46e01,9945b593fd51b87bd753f6f6f5fc8cd24103af96a84e6fa5911e843a60f877e2,"[""13305"",""13310"",""13313""]",20260803,small_3_5_8_13_per6_seed20260803,independently_validated_12_checks,small_anchor,high,high,middle,0.11236802413273002,0.8758169934640523,0,1,16.521889898461538,501.16399358666666,2,0
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k03_s6,3,6,GIRO_duty_count_comparator_not_assumed_optimum,3,40,3,data/scale_ladder/instances/Practice_Custom_DutyUnion_k03_r6.csv,fb1dc3fac8ddc75f629c74ff5fc7602a0ca1758647595b51e6ea5c7f07350f21,367b01f21e53ea5fd5932f0de36e290e400ac7f4412dc4e31c76eb974c551fb9,"[""13323"",""13409"",""13410""]",20260803,small_3_5_8_13_per6_seed20260803,independently_validated_12_checks,small_anchor,low,low,high,0.08071135430916553,0.9069767441860465,0.3333333333333333,0.6666666666666666,37.629274785,501.7236638,7,2
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k05_s1,5,1,GIRO_duty_count_comparator_not_assumed_optimum,5,105,5,data/scale_ladder/instances/Practice_Custom_DutyUnion_k05_r1.csv,fc10ac0707becb960364e76b8c1e1c414d5d5639cbc3b7dadaf67a77e03f5322,3a4a18fbebfb57ea6db7c03920f2af89b55d761e3aae498820207c0c9ad0d37b,"[""13302"",""13408"",""13410"",""13411"",""13412""]",20260803,small_3_5_8_13_per6_seed20260803,legacy_manifest_and_preflight_bound,small_anchor,middle,low,low,0.048436896950984173,0.9278270937861829,0.2,0.8,29.41973311104762,617.814395332,7,2
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k05_s2,5,2,GIRO_duty_count_comparator_not_assumed_optimum,5,101,5,data/tariff_response/frozen_instances/Practice_Custom_DutyUnion_k05_r2.csv,6ffea0b8cd3a9d15846946f6828705dd3431b7bafc69bd572ca30ed4530d5cb8,f80b6eeb57d9a13686a624d928ef08ee0b23d77d598eed5daaa8975d9e461680,"[""13307"",""13315"",""13326"",""13402"",""13407""]",20260803,small_3_5_8_13_per6_seed20260803,legacy_manifest_and_preflight_bound,small_anchor,low,high,middle,0.0708497818408477,0.9052565967172241,0.2,1,24.342762248613862,491.723797422,5,1
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k05_s3,5,3,GIRO_duty_count_comparator_not_assumed_optimum,5,125,5,data/scale_ladder/instances/Practice_Custom_DutyUnion_k05_r3.csv,4a783b4f96ec47e28a693b921d51a4453ecfb1107d8c181a7739f42c41fd8500,61f6986b6f8170ba5af930662f92b7f12712e44c77cc5607c682b363930aa8d8,"[""13304"",""13305"",""13308"",""13413"",""13414""]",20260803,small_3_5_8_13_per6_seed20260803,legacy_manifest_and_preflight_bound,small_anchor,middle,middle,middle,0.06456798392498325,0.9148024112525117,0.2,1,21.18579986608,529.644996652,3,2
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k05_s4,5,4,GIRO_duty_count_comparator_not_assumed_optimum,5,127,5,data/scale_ladder/instances/Practice_Custom_DutyUnion_k05_r4.csv,8c76d093404ad593da1a4b7e47ba6e3eab34de8726a3b2054c3bd7aabb4b523f,4ef5cf1a03d3309d3a1b9fa9f126860d1d2dec1497a95906a60c59196e5f20de,"[""13303"",""13324t"",""13326"",""13404"",""13407""]",20260803,small_3_5_8_13_per6_seed20260803,independently_validated_12_checks,small_anchor,high,middle,low,0.06190661984653401,0.9161139289894654,0,0.8,22.244133717795275,565.000996432,3,1
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k05_s5,5,5,GIRO_duty_count_comparator_not_assumed_optimum,5,97,5,data/scale_ladder/instances/Practice_Custom_DutyUnion_k05_r5.csv,f69254a3d6137ca09204360fd68de5f56273df51b6a211650e7f18a9f26ae976,d637fd4512a8a33baddc0804ee3b55e8cbe774471e84b6fe4f6bd3bc0c27cfc3,"[""13304"",""13311"",""13406"",""13409"",""13410""]",20260803,small_3_5_8_13_per6_seed20260803,independently_validated_12_checks,small_anchor,low,low,high,0.05839909808342728,0.9197294250281849,0.4,0.8,28.342690528041235,549.848196244,7,4
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k05_s6,5,6,GIRO_duty_count_comparator_not_assumed_optimum,5,127,5,data/scale_ladder/instances/Practice_Custom_DutyUnion_k05_r6.csv,bbaed5d68ecaa4d90b3f9d2e7a4b02007e3c6a61f335df74b590205ee2da5b19,7203006bd9f50aae9ae68f851c4988917d89db0e16dc25ba368bf922a039840a,"[""13305"",""13309"",""13313"",""13316uwt"",""13404""]",20260803,small_3_5_8_13_per6_seed20260803,independently_validated_12_checks,small_anchor,high,high,high,0.08245408362641657,0.8965741826234206,0.2,1,20.16774784535433,512.260795272,3,2
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k08_s1,8,1,GIRO_duty_count_comparator_not_assumed_optimum,8,203,8,data/scale_ladder/instances/Practice_Custom_DutyUnion_k08_r1.csv,5a26312461037c4273f16b60db985423e6189171a0fb75f8ea0ee85316e3f4d4,cfb8023b01ab3fe64676545f71695d8b99819b77250f5e46533e17265e99a1ca,"[""13301"",""13305"",""13316m"",""13318"",""13325"",""13403"",""13405"",""13414""]",20260803,small_3_5_8_13_per6_seed20260803,legacy_manifest_and_preflight_bound,medium_legacy_core,high,middle,low,0.06184150251946862,0.9159159159159159,0.125,0.875,20.932088523743843,531.15174629,3.5,3
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k08_s2,8,2,GIRO_duty_count_comparator_not_assumed_optimum,8,183,8,data/tariff_response/frozen_instances/Practice_Custom_DutyUnion_k08_r2.csv,0d368920af0c5b14e0907b85977a9f72163a0cea6431c206f992e89aa31eb27f,49da175914a4d0566bbad753f108c00f8a74e6d86db9af0eca5f321652aff133,"[""13304"",""13305"",""13309"",""13314"",""13316uwt"",""13322"",""13403"",""13407""]",20260803,small_3_5_8_13_per6_seed20260803,legacy_manifest_and_preflight_bound,medium_legacy_core,middle,high,low,0.0706944096264728,0.9072449235397343,0.125,1,20.25493976874317,463.33174721,3,4
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k08_s3,8,3,GIRO_duty_count_comparator_not_assumed_optimum,8,159,8,data/scale_ladder/instances/Practice_Custom_DutyUnion_k08_r3.csv,0576894030c0dadd6218f14cc2791f8f727d4bc880c0e26ec295db5a7fcdf9a9,9727dbb4d56ac4739a5b31e676c7a9cd98cf99bd05ad9c0a7e5c9730d7e418cf,"[""13305"",""13308"",""13310"",""13316m"",""13323"",""13401"",""13403"",""13404""]",20260803,small_3_5_8_13_per6_seed20260803,legacy_manifest_and_preflight_bound,medium_legacy_core,middle,high,middle,0.06668906433730892,0.9069376784814379,0.25,1,23.33468537899371,463.7768719075,6,3
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k08_s4,8,4,GIRO_duty_count_comparator_not_assumed_optimum,8,186,8,data/scale_ladder/instances/Practice_Custom_DutyUnion_k08_r4.csv,c8bad8466ec37e2670deccc6e565bc2e8054a747ffb9efa4ec4c54aeef28734a,7065809fe21c6b1eadb7029cd9f91223b36368c78b440f8b9f925a69f8d5180f,"[""13307"",""13312"",""13313"",""13315"",""13406"",""13407"",""13408"",""13410""]",20260803,small_3_5_8_13_per6_seed20260803,independently_validated_12_checks,medium_legacy_core,high,middle,high,0.05423894453945761,0.9215123381382849,0.25,1,23.952768622043013,556.9018704625,5,3
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k08_s5,8,5,GIRO_duty_count_comparator_not_assumed_optimum,8,136,8,data/scale_ladder/instances/Practice_Custom_DutyUnion_k08_r5.csv,e52495a48dd6c7d79b716a27f7a438303adf1035563afc57bc7c8c76d9ec8e28,11ee3aaf8a48593ff3d7c53cd5ba04733a3fd1d8d214be6d1553ebd93ef96616,"[""13306"",""13316uwt"",""13321"",""13323"",""13402"",""13405"",""13408"",""13411""]",20260803,small_3_5_8_13_per6_seed20260803,independently_validated_12_checks,medium_legacy_core,low,low,middle,0.049913144180660104,0.9202084539664157,0.125,0.75,27.300808665,464.113747305,7,3
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k08_s6,8,6,GIRO_duty_count_comparator_not_assumed_optimum,8,144,8,data/scale_ladder/instances/Practice_Custom_DutyUnion_k08_r6.csv,ef872319d81bb2cdd580a7c935d8f158bb7b686d0eff8916eac17922353576f8,29d47402622ceb39ea86b24d21396db0868c881997b0d8d7f9c5b080fad6528b,"[""13311"",""13313"",""13316m"",""13323"",""13402"",""13405"",""13409"",""13413""]",20260803,small_3_5_8_13_per6_seed20260803,independently_validated_12_checks,medium_legacy_core,low,low,high,0.052805621576935004,0.9162963728428232,0.25,0.75,28.224402547361112,508.0392458525,7,3
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k13_s1,13,1,GIRO_duty_count_comparator_not_assumed_optimum,13,289,13,data/scale_ladder/instances/Practice_Custom_DutyUnion_k13_r1.csv,ecbfec1ae18e45fb8246d66dffdc45173bea9dfccc64024224236cc529895127,55a728c1d4edfbe1fcb69be50fec9b0a123b13e3179a2ea325bcf99db4795452,"[""13308"",""13309"",""13312"",""13316m"",""13318"",""13322"",""13326"",""13401"",""13403"",""13404"",""13407"",""13413"",""13414""]",20260803,small_3_5_8_13_per6_seed20260803,legacy_manifest_and_preflight_bound,medium_legacy_core,low,low,high,0.05301455301455302,0.9209218599462502,0.23076923076923078,1,24.030159007301037,534.20891947,6,4
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k13_s2,13,2,GIRO_duty_count_comparator_not_assumed_optimum,13,265,13,data/scale_ladder/instances/Practice_Custom_DutyUnion_k13_r2.csv,8a70d12b28a0474e0a488194a79f47ce322394c6f109513bb7525788342bcc48,c34740d75edc66e2841ba0836af401e808cb70da2546f007c96426f6b6b33117,"[""13306"",""13308"",""13310"",""13314"",""13316uwt"",""13317"",""13322"",""13323"",""13407"",""13408"",""13411"",""13412"",""13413""]",20260803,small_3_5_8_13_per6_seed20260803,legacy_manifest_and_preflight_bound,medium_legacy_core,low,middle,middle,0.05674721694270975,0.91498476483543,0.15384615384615385,0.9230769230769231,23.413973440301888,477.2848432061538,4,6
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k13_s3,13,3,GIRO_duty_count_comparator_not_assumed_optimum,13,325,13,data/scale_ladder/instances/Practice_Custom_DutyUnion_k13_r3.csv,dedd0e5837ca8b01504d3778319fe48b39ad9037a5d7c8665ab123fac7da4baa,1bebd490aeaebed1265dcc85c8bd368d34e473e488e2e86d2c80c19481dbd6f5,"[""13303"",""13305"",""13310"",""13311"",""13314"",""13315"",""13316m"",""13319"",""13321"",""13325"",""13404"",""13408"",""13411""]",20260803,small_3_5_8_13_per6_seed20260803,legacy_manifest_and_preflight_bound,medium_legacy_core,middle,high,low,0.06669039990506705,0.9128594596732724,0.07692307692307693,0.8461538461538461,19.125855258861538,478.1463814715384,3,5
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k13_s4,13,4,GIRO_duty_count_comparator_not_assumed_optimum,13,308,13,data/scale_ladder/instances/Practice_Custom_DutyUnion_k13_r4.csv,5bf142221055f18b5c83bc294720dfa96cb8196cb5b32aebcb0598f7e459f72d,598fdcd22be0459489c8337487e7f42653bc6783f809bd140e9de5279ac22c95,"[""13303"",""13305"",""13307"",""13308"",""13312"",""13315"",""13320"",""13405"",""13407"",""13408"",""13410"",""13411"",""13412""]",20260803,small_3_5_8_13_per6_seed20260803,independently_validated_12_checks,medium_legacy_core,middle,low,high,0.054639587592214024,0.9206737178917429,0.23076923076923078,0.7692307692307693,22.509759587922076,533.3081502369231,4,5
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k13_s5,13,5,GIRO_duty_count_comparator_not_assumed_optimum,13,382,13,data/scale_ladder/instances/Practice_Custom_DutyUnion_k13_r5.csv,eb8bade5418d3c6ab936cfc30b304c4851cea4cc4d5af95996f606cbb1744343,6c635e6a4031c7ce4b49f20d6ebb57518359d3a1586671ca20c39dab800ac4ca,"[""13302"",""13303"",""13304"",""13306"",""13307"",""13308"",""13310"",""13315"",""13319"",""13325"",""13411"",""13413"",""13414""]",20260803,small_3_5_8_13_per6_seed20260803,independently_validated_12_checks,medium_legacy_core,high,high,middle,0.06516444229207914,0.9164328343327588,0.15384615384615385,0.8461538461538461,18.280379444109947,537.16191905,2,4
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k13_s6,13,6,GIRO_duty_count_comparator_not_assumed_optimum,13,356,13,data/scale_ladder/instances/Practice_Custom_DutyUnion_k13_r6.csv,de0187979317c0efa2ce262d6d3de8601de2b2f71084b245c81e9db5d22bdb74,dee50e904f33e164cf6c4160a559b914b31c91dafbb87b24648bf0bf26066eee,"[""13301"",""13303"",""13305"",""13315"",""13317"",""13319"",""13325"",""13326"",""13404"",""13406"",""13409"",""13410"",""13413""]",20260803,small_3_5_8_13_per6_seed20260803,independently_validated_12_checks,medium_legacy_core,high,middle,low,0.05505996629993062,0.9237122939174679,0.07692307692307693,0.8461538461538461,21.15650830466292,579.3628428046154,3,5
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k20_s1,20,1,GIRO_duty_count_comparator_not_assumed_optimum,20,443,20,data/scale_ladder/instances/Practice_Custom_DutyUnion_k20_r1.csv,d976b955d151fd8d55be3c55ef96081214fc78ad5012900bb620264d2131c160,34fe13d5aff15bfa75c914decb815dd8bbc5f5cdcaf37d1f50a3c9c48b5617e1,"[""13301"",""13305"",""13308"",""13314"",""13315"",""13317"",""13319"",""13322"",""13323"",""13325"",""13326"",""13402"",""13404"",""13406"",""13407"",""13409"",""13410"",""13411"",""13413"",""13414""]",20260803,large_15_20_30_40_per6_seed20260803,legacy_manifest_and_preflight_bound,medium_legacy_core,low,low,low,0.04871717541629866,0.9251416384825834,0.15,0.9,24.11938135173815,534.244296941,6,8
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k20_s2,20,2,GIRO_duty_count_comparator_not_assumed_optimum,20,471,20,data/scale_ladder/instances/Practice_Custom_DutyUnion_k20_r2.csv,7e91aa2de9707425ed5ebeb440ccea2d8194e7b8d8c6faa28946f839b2ed886a,16af48b57826fe55a84214774fe3bbb402b9512690ec36c70bf2f847315d622b,"[""13302"",""13304"",""13305"",""13306"",""13313"",""13316uwt"",""13319"",""13321"",""13322"",""13324t"",""13325"",""13403"",""13404"",""13405"",""13407"",""13408"",""13409"",""13412"",""13413"",""13414""]",20260803,large_15_20_30_40_per6_seed20260803,legacy_manifest_and_preflight_bound,medium_legacy_core,high,low,low,0.04923746035363607,0.9258161928095265,0.1,0.9,23.36801256178344,550.3166958300001,5,6
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k20_s3,20,3,GIRO_duty_count_comparator_not_assumed_optimum,20,435,20,data/scale_ladder/instances/Practice_Custom_DutyUnion_k20_r3.csv,1f3a770cc9463d238be8851f0fb8bdff57c5a87ae9d1799a32a0047ba6e595a2,907bce5562a743700e71ac3d5b00f64e44546841308fe29d7213cc1f7f4e5725,"[""13301"",""13302"",""13304"",""13305"",""13309"",""13310"",""13311"",""13313"",""13314"",""13316m"",""13323"",""13326"",""13401"",""13403"",""13404"",""13405"",""13406"",""13409"",""13410"",""13413""]",20260803,large_15_20_30_40_per6_seed20260803,legacy_manifest_and_preflight_bound,medium_legacy_core,low,middle,middle,0.052566909432107595,0.9213730396318306,0.25,0.9,23.350615919885055,507.87589625749996,5,9
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k20_s4,20,4,GIRO_duty_count_comparator_not_assumed_optimum,20,488,20,data/scale_ladder/instances/Practice_Custom_DutyUnion_k20_r4.csv,6bc3f0c4d62e0372f1da40808399121153e070cba12aac765ac7f76392740250,424c0c6ab8ae97e2de41a96b1eba200c0ebcd500aa28033ba75618ede52870e8,"[""13301"",""13303"",""13304"",""13310"",""13311"",""13312"",""13316m"",""13318"",""13320"",""13321"",""13322"",""13323"",""13324t"",""13325"",""13401"",""13403"",""13404"",""13407"",""13409"",""13414""]",20260803,large_15_20_30_40_per6_seed20260803,independently_validated_12_checks,medium_legacy_core,high,high,high,0.0573472293010422,0.9210794565809592,0.25,0.9,20.740835915266395,506.0763963325,3,9
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k20_s5,20,5,GIRO_duty_count_comparator_not_assumed_optimum,20,453,20,data/scale_ladder/instances/Practice_Custom_DutyUnion_k20_r5.csv,f82e759fccadbefbe8f9362c7f2899f34bf43c738575ca198926bc0e99e4f2f2,ed4ec363a3acb2aabfadd8034bbefa0eeef2d5d53832f995d2a1f57906a86aa9,"[""13304"",""13305"",""13309"",""13310"",""13312"",""13314"",""13315"",""13317"",""13318"",""13319"",""13321"",""13323"",""13324t"",""13401"",""13402"",""13403"",""13409"",""13412"",""13413"",""13414""]",20260803,large_15_20_30_40_per6_seed20260803,independently_validated_12_checks,medium_legacy_core,middle,high,high,0.0537491297759941,0.9223657807445023,0.25,0.95,21.977615749359824,497.79299672300004,4,10
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k20_s6,20,6,GIRO_duty_count_comparator_not_assumed_optimum,20,467,20,data/scale_ladder/instances/Practice_Custom_DutyUnion_k20_r6.csv,d3ff8894e1de36ac0fc0e6bb7ce325c733688a793c4aee1a185dd747620f9a16,21c0e711f0ae4667ea031c9a14c836fe2b514466b51c69b88902d3cdc82a8191,"[""13301"",""13302"",""13304"",""13305"",""13308"",""13310"",""13311"",""13315"",""13316m"",""13323"",""13324t"",""13325"",""13404"",""13405"",""13406"",""13407"",""13409"",""13410"",""13412"",""13413""]",20260803,large_15_20_30_40_per6_seed20260803,independently_validated_12_checks,medium_legacy_core,middle,middle,middle,0.051268187655083855,0.9244880422503935,0.2,0.9,22.847503052441112,533.4891962744999,4,10
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k30_s1,30,1,GIRO_duty_count_comparator_not_assumed_optimum,30,714,30,data/scale_ladder/instances/Practice_Custom_DutyUnion_k30_r1.csv,7d3bb9931a3572b992ae42e8d88a47268d169721a66b483fdcb7aac322531773,d5a8ff19797761089a472b29b3d913edbc7059943c379096d2d803d2098350b8,"[""13303"",""13304"",""13305"",""13306"",""13308"",""13309"",""13310"",""13312"",""13313"",""13314"",""13315"",""13316m"",""13318"",""13319"",""13320"",""13322"",""13323"",""13324muw"",""13325"",""13326"",""13401"",""13402"",""13403"",""13405"",""13408"",""13409"",""13410"",""13411"",""13412"",""13413""]",20260803,large_15_20_30_40_per6_seed20260803,legacy_manifest_and_preflight_bound,upper_scale_probe,high,high,low,0.05776692823771489,0.9185432293234478,0.16666666666666666,0.8666666666666667,21.172159509383754,503.8973963233333,3,12
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k30_s2,30,2,GIRO_duty_count_comparator_not_assumed_optimum,30,654,30,data/scale_ladder/instances/Practice_Custom_DutyUnion_k30_r2.csv,acdfe96bd49508fe4f9ffb6138439fa7e0a2ffbd97cb6973179a6b73869a6c67,a6e1ed8f3eab51390eb482f6ef9371d23658e214bf1f07bcd3d3d1baca5f0088,"[""13301"",""13302"",""13304"",""13306"",""13307"",""13308"",""13309"",""13310"",""13311"",""13312"",""13314"",""13316uwt"",""13317"",""13318"",""13320"",""13321"",""13323"",""13326"",""13401"",""13402"",""13403"",""13404"",""13406"",""13407"",""13408"",""13409"",""13411"",""13412"",""13413"",""13414""]",20260803,large_15_20_30_40_per6_seed20260803,legacy_manifest_and_preflight_bound,upper_scale_probe,middle,low,middle,0.049807635395087306,0.9245190884877182,0.3,0.9333333333333333,23.320787301360856,508.39316316966665,5,15
