scale,selection_replicate,cg_replicates,target_fleet,relative_path,instance_file_sha256,trip_count,ordered_trip_id_set_sha256,solver_local_trip_index_sha256,ordered_trip_sequence_sha256,trip_identity_schema,duty_count,duties_json,duty_set_sha256,generator_seed,generator_family,weekday_variant_policy,reused_frozen_input
8,2,1,8,data/tariff_response/frozen_instances/Practice_Custom_DutyUnion_k08_r2.csv,0d368920af0c5b14e0907b85977a9f72163a0cea6431c206f992e89aa31eb27f,183,13aa5dd1ae4976336d665d36bab0f99b9a15a61f41839c1ff19aa38e81362416,fa0eeb4484d3630ee8a9baae615cf00401cf0a1761732828811562466adad528,6996ef1e521579b02cece1a278a94cfcb55880b8ceaac7a369846acb2068325d,evsp-dr-trip-identity-v1,8,"[""13304"",""13305"",""13309"",""13314"",""13316uwt"",""13322"",""13403"",""13407""]",49da175914a4d0566bbad753f108c00f8a74e6d86db9af0eca5f321652aff133,20260803,small_3_5_8_13_per6_seed20260803,one_literal_per_numeric_base_no_siblings,True
8,3,1,8,data/scale_ladder/instances/Practice_Custom_DutyUnion_k08_r3.csv,0576894030c0dadd6218f14cc2791f8f727d4bc880c0e26ec295db5a7fcdf9a9,159,31d1922f9e6ca0176f5d213b1a5fbe818911d18f8f7b9e5c1fae84126aad9142,08d44416d05bab0e6de9f9bc0f69a9873499ad7b804945d8eef9f031dc5a4e54,e8b69794c0bc2d2dcc283ce0b9c2eed88dda3ee2a9155b3ed420054b630bafdf,evsp-dr-trip-identity-v1,8,"[""13305"",""13308"",""13310"",""13316m"",""13323"",""13401"",""13403"",""13404""]",9727dbb4d56ac4739a5b31e676c7a9cd98cf99bd05ad9c0a7e5c9730d7e418cf,20260803,small_3_5_8_13_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
13,1,1,13,data/scale_ladder/instances/Practice_Custom_DutyUnion_k13_r1.csv,ecbfec1ae18e45fb8246d66dffdc45173bea9dfccc64024224236cc529895127,289,f9c56b90588201d4c0d8ea779804afb8555aa122028dd2a83a875ab6802c9198,9bdb63d0d9d49cf42045daa071a2a1954bc574458c7826260eb3d74dd04cf780,5966d4d53e9f5e4d8fcb2460dab5501efc43cd6cc02888f8a349b6fbffaf50ad,evsp-dr-trip-identity-v1,13,"[""13308"",""13309"",""13312"",""13316m"",""13318"",""13322"",""13326"",""13401"",""13403"",""13404"",""13407"",""13413"",""13414""]",55a728c1d4edfbe1fcb69be50fec9b0a123b13e3179a2ea325bcf99db4795452,20260803,small_3_5_8_13_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
13,2,1,13,data/scale_ladder/instances/Practice_Custom_DutyUnion_k13_r2.csv,8a70d12b28a0474e0a488194a79f47ce322394c6f109513bb7525788342bcc48,265,312d08e7929c528990d564b2a7d26b36e9435d3a7b5b92d3aea73a9213b7da19,d66c4fe084536f60b17752cbafc80d92c8bbd86a1bd145f4dce5445dc24c0874,3f3d58c435693250b05436a2618de2948dbd6ee9f26770199d9d33cab5684133,evsp-dr-trip-identity-v1,13,"[""13306"",""13308"",""13310"",""13314"",""13316uwt"",""13317"",""13322"",""13323"",""13407"",""13408"",""13411"",""13412"",""13413""]",c34740d75edc66e2841ba0836af401e808cb70da2546f007c96426f6b6b33117,20260803,small_3_5_8_13_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
13,3,1,13,data/scale_ladder/instances/Practice_Custom_DutyUnion_k13_r3.csv,dedd0e5837ca8b01504d3778319fe48b39ad9037a5d7c8665ab123fac7da4baa,325,d84da90a5d9e832ac3559255b2ac49f02f17f2c25ac014fd4bd6a7639ae983f8,9fce1304aa3def45412f7466efeae25421d64ec1971c76d34d0e66aaf337364c,18579b3d01c7ff09b05d1a50f3fbccc3cbfc59ff006311d5ce67f92a5f7a2125,evsp-dr-trip-identity-v1,13,"[""13303"",""13305"",""13310"",""13311"",""13314"",""13315"",""13316m"",""13319"",""13321"",""13325"",""13404"",""13408"",""13411""]",1bebd490aeaebed1265dcc85c8bd368d34e473e488e2e86d2c80c19481dbd6f5,20260803,small_3_5_8_13_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
20,1,1,20,data/scale_ladder/instances/Practice_Custom_DutyUnion_k20_r1.csv,d976b955d151fd8d55be3c55ef96081214fc78ad5012900bb620264d2131c160,443,6b6957b12c39bdcab42e3013161f460867db0e4a7794892d7ab00bbfa33b662e,dbff22ad262b53949527c6918bc229e2b81466cc122454a32673013285196483,3f40bb0bf874b8004baaa5217483b96215a62d6186ba982274ef181bd084a801,evsp-dr-trip-identity-v1,20,"[""13301"",""13305"",""13308"",""13314"",""13315"",""13317"",""13319"",""13322"",""13323"",""13325"",""13326"",""13402"",""13404"",""13406"",""13407"",""13409"",""13410"",""13411"",""13413"",""13414""]",34fe13d5aff15bfa75c914decb815dd8bbc5f5cdcaf37d1f50a3c9c48b5617e1,20260803,large_15_20_30_40_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
20,2,1,20,data/scale_ladder/instances/Practice_Custom_DutyUnion_k20_r2.csv,7e91aa2de9707425ed5ebeb440ccea2d8194e7b8d8c6faa28946f839b2ed886a,471,9529826883e8e0da525e4e1c8e0030a6da2505a4f7523abde1723fa931bc8b35,8af6a68202705d7ae6064367f1cd2657061bbe43014d637f21a2c489295ab966,bfadff58057e2ed6f717a0cea332874874dbfeba4f91c6bd6083cfb405e771e5,evsp-dr-trip-identity-v1,20,"[""13302"",""13304"",""13305"",""13306"",""13313"",""13316uwt"",""13319"",""13321"",""13322"",""13324t"",""13325"",""13403"",""13404"",""13405"",""13407"",""13408"",""13409"",""13412"",""13413"",""13414""]",16af48b57826fe55a84214774fe3bbb402b9512690ec36c70bf2f847315d622b,20260803,large_15_20_30_40_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
20,3,1,20,data/scale_ladder/instances/Practice_Custom_DutyUnion_k20_r3.csv,1f3a770cc9463d238be8851f0fb8bdff57c5a87ae9d1799a32a0047ba6e595a2,435,c0a1e779a1428eadefe972af9d0673a14fcb1561c35a57a873bf809b57002321,e7d8bab016ed7c01d4371bd57d4200df775db54434fa9f6e5978d1d14794a480,f9c5b40d76cd86088a7f6e29e695b7caf8437ee0daa838519ccc3178dceafe83,evsp-dr-trip-identity-v1,20,"[""13301"",""13302"",""13304"",""13305"",""13309"",""13310"",""13311"",""13313"",""13314"",""13316m"",""13323"",""13326"",""13401"",""13403"",""13404"",""13405"",""13406"",""13409"",""13410"",""13413""]",907bce5562a743700e71ac3d5b00f64e44546841308fe29d7213cc1f7f4e5725,20260803,large_15_20_30_40_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
30,1,1,30,data/scale_ladder/instances/Practice_Custom_DutyUnion_k30_r1.csv,7d3bb9931a3572b992ae42e8d88a47268d169721a66b483fdcb7aac322531773,714,a4eedf70f01cb866a8fd37550b04d17e85428c36e9f5514a632314299c11d775,437da5c9ded4712db8de081328587a3e66c81391cba91e79aaa363409a5459f1,70fcea35544de56a4b67eb09a416999c8f7d3b3a7b97f7083c0ee4ddd9e7871b,evsp-dr-trip-identity-v1,30,"[""13303"",""13304"",""13305"",""13306"",""13308"",""13309"",""13310"",""13312"",""13313"",""13314"",""13315"",""13316m"",""13318"",""13319"",""13320"",""13322"",""13323"",""13324muw"",""13325"",""13326"",""13401"",""13402"",""13403"",""13405"",""13408"",""13409"",""13410"",""13411"",""13412"",""13413""]",d5a8ff19797761089a472b29b3d913edbc7059943c379096d2d803d2098350b8,20260803,large_15_20_30_40_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
30,2,1,30,data/scale_ladder/instances/Practice_Custom_DutyUnion_k30_r2.csv,acdfe96bd49508fe4f9ffb6138439fa7e0a2ffbd97cb6973179a6b73869a6c67,654,7ce2d490018d2ffca0d380df86d9f3110fabf2145c001dc95c21e9b75569ca64,1d95b3ad0aee2fc8c20e07d6075d182b9b9c4aae8e9e8affe82067e3751bf8d6,48f48c5a185e5a471640ec0184180e0531109e78373a75aaec04a4caf4ea4dbb,evsp-dr-trip-identity-v1,30,"[""13301"",""13302"",""13304"",""13306"",""13307"",""13308"",""13309"",""13310"",""13311"",""13312"",""13314"",""13316uwt"",""13317"",""13318"",""13320"",""13321"",""13323"",""13326"",""13401"",""13402"",""13403"",""13404"",""13406"",""13407"",""13408"",""13409"",""13411"",""13412"",""13413"",""13414""]",a6e1ed8f3eab51390eb482f6ef9371d23658e214bf1f07bcd3d3d1baca5f0088,20260803,large_15_20_30_40_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
30,3,1,30,data/scale_ladder/instances/Practice_Custom_DutyUnion_k30_r3.csv,5cde49cc325a3dc2672334a3bd292ed154942082b8c864e187e5522d65db3cbb,636,05fd89e2219c26ff980431693cc8487d6647de284b641da79a644755d87b0896,4e896e2b52e2f2ef815ae65326ffc7fcf9f7d82d6f9c6d7d6f9a47097c72b07e,bb7d59d767801fc7e42b194146d19d3aeb8edc5da4ffdbde68d7455f0483e5e8,evsp-dr-trip-identity-v1,30,"[""13301"",""13304"",""13306"",""13307"",""13309"",""13310"",""13311"",""13313"",""13314"",""13315"",""13316uwt"",""13317"",""13318"",""13319"",""13320"",""13323"",""13324muw"",""13325"",""13401"",""13402"",""13403"",""13406"",""13407"",""13408"",""13409"",""13410"",""13411"",""13412"",""13413"",""13414""]",63fed176e7a8c0198e5d0df003def9854be7a6f518e6f6f512c8a5d362be2efa,20260803,large_15_20_30_40_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
40,2,2,40,data/tariff_response/frozen_instances/Practice_Custom_DutyUnion_k40_r2.csv,3508a11f73d1186ae87588656d65ea62812c6e222623ae85488eff26cafb35fd,947,2756baf18e81509df74a2e92e3925aefd17fdf81d95ded9161ad113fd6830e50,35604b22facf1646963e85eb98a858906f0dd7dbebd86ea0d3ac7b797de62ed0,4f97828ea12f082e50df2067894cd650ba599043e7ece51fa3b80379e51b0f2c,evsp-dr-trip-identity-v1,40,"[""13301"",""13302"",""13303"",""13304"",""13305"",""13306"",""13307"",""13308"",""13309"",""13310"",""13311"",""13312"",""13313"",""13314"",""13315"",""13316uwt"",""13317"",""13318"",""13319"",""13320"",""13321"",""13322"",""13323"",""13324t"",""13325"",""13326"",""13401"",""13402"",""13403"",""13404"",""13405"",""13406"",""13407"",""13408"",""13409"",""13410"",""13411"",""13412"",""13413"",""13414""]",c1da8d9176eab4eb4dd2a878287d5eb0a5a67d9e84114396d4bb5753185a1eaf,20260803,large_15_20_30_40_per6_seed20260803,one_literal_per_numeric_base_no_siblings,True
2,4,1,2,data/scale_ladder/instances/Practice_Custom_DutyUnion_k02_r4.csv,62d819d26255fe4daf70d26793bea3dfb072fa74ecfc3b21cad2ef4f8e1bea61,39,022f2f90854298b331069e006392f0a8d95d515295def6bbb59f9f5c47b478bd,93c7500d12794c52c2c4fe3bd2204aceb7c4a4b889dbb712ad869b4d60578db5,c6dcf82bfb7d60c16500a1af37ed3c04ffcf7d65ac2b0249c6dd2c8fb5fdbab3,evsp-dr-trip-identity-v1,2,"[""13319"",""13414""]",ff080feeafeeffb46cc24d8d9f8f813f9159405ad290029901e7a7e3f930e0ad,20260803,pair_union_k2_seed20260803,one_literal_per_numeric_base_no_siblings,False
2,5,1,2,data/scale_ladder/instances/Practice_Custom_DutyUnion_k02_r5.csv,64e59a7e8b7e675aceea96dcf33a2e2120a204a87f0755c083413b253d0cb225,30,632ac29b6bcf90f17e5f81efa03e6e4cef2a4ead80d388b028d340694a1a89e0,a6442ecc61a4de61e54fe0f8b19a20dfa668ac6b03491ae7cff4fe8261f6c7e1,9526f0f587604cc88a441f8a7d62fffd331553704d58cc066a5ad8e4b2c5db99,evsp-dr-trip-identity-v1,2,"[""13321"",""13323""]",c31847b27e3d66b54709543535bdcfad11e8d03f22190d22fb7cdca700c075fb,20260803,pair_union_k2_seed20260803,one_literal_per_numeric_base_no_siblings,False
2,6,1,2,data/scale_ladder/instances/Practice_Custom_DutyUnion_k02_r6.csv,6fee11f84d907aff9b17429280faf8f74aae0e5f4d1721f9dd79346dce74b4ca,83,8092fd9c96548394dde3178f4e774e77f7e20f8356f569262044495746b119af,d7d138b25149544df897449bdeda314a4360c3a5f300ad5e66011b1f84320fce,97ce3b98f772f517a733a77b8688956c08f2f4f9edbe02018fbe75aa00bed6e8,evsp-dr-trip-identity-v1,2,"[""13312"",""13317""]",71a659ed15d5cdae694b5bc1bc981afb8ddd45e9c0b8b981ab41b7f8f65d054c,20260803,pair_union_k2_seed20260803,one_literal_per_numeric_base_no_siblings,False
3,4,1,3,data/scale_ladder/instances/Practice_Custom_DutyUnion_k03_r4.csv,3e94695d03f9947d7c0d69c212936d31fa1acca1bc2508b549500cd1ab89d0de,105,c096e4c56dcd84153798391ed13e163a07315ead87b3e8eb10d9aef514ea5158,7de95596d3401a0a888332041962b3f5908ac53503c5e0b6dfa8e2634ff034c1,2ee1396a31b14c27eacff6c80ab80cd8a1e8dea37c0c1b0000743af3e0bc45c7,evsp-dr-trip-identity-v1,3,"[""13312"",""13317"",""13321""]",33afae70500f38bd9562d1ac53b3ffc1fb51d9db47f1e665bb545e75ffa84d1b,20260803,small_3_5_8_13_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
3,5,1,3,data/scale_ladder/instances/Practice_Custom_DutyUnion_k03_r5.csv,f46be52d5512d77690c448d4a94415dbf4a2f50ff07745fcdc29c0ab66d46e01,91,366a0e46f1a483c5790f19355ab0b6dbbb63e1d4d4d1fc9c37b761b208403fad,c8b4ea1d116d95ad2819e9fa7c3dc34ac5a757459cf6e0df74fa7234cc41392a,76386c8a4467a2bfac142162ad59402b9b8e5ebdae9683919245300cb7f37880,evsp-dr-trip-identity-v1,3,"[""13305"",""13310"",""13313""]",9945b593fd51b87bd753f6f6f5fc8cd24103af96a84e6fa5911e843a60f877e2,20260803,small_3_5_8_13_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
3,6,1,3,data/scale_ladder/instances/Practice_Custom_DutyUnion_k03_r6.csv,fb1dc3fac8ddc75f629c74ff5fc7602a0ca1758647595b51e6ea5c7f07350f21,40,f6801690d38724a04191c82fd2d7b324cb4eca2928ac83659d97d3b147a5a41e,e38a3b55be6489a183094f48ed53f33baa5726dbe94d231ecb650626d3279b6f,91b47146f92e5037f20ce9dd6dace6bb5de49837bba9763eadbc3d21167d733f,evsp-dr-trip-identity-v1,3,"[""13323"",""13409"",""13410""]",367b01f21e53ea5fd5932f0de36e290e400ac7f4412dc4e31c76eb974c551fb9,20260803,small_3_5_8_13_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
5,4,1,5,data/scale_ladder/instances/Practice_Custom_DutyUnion_k05_r4.csv,8c76d093404ad593da1a4b7e47ba6e3eab34de8726a3b2054c3bd7aabb4b523f,127,95211778d911a8e22c9f9936dd072140c93f4de590ef95d0ba3a08fd52f740cc,e3c01139bbdc3d3d3714e495b2a687e6f2fa613ddf7fe07857a5ed8b9d6a9d3e,51dd5d923a47e4ce29cac0708907bb92db9dbdbf2792e8c75e60a5f8ff64a145,evsp-dr-trip-identity-v1,5,"[""13303"",""13324t"",""13326"",""13404"",""13407""]",4ef5cf1a03d3309d3a1b9fa9f126860d1d2dec1497a95906a60c59196e5f20de,20260803,small_3_5_8_13_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
5,5,1,5,data/scale_ladder/instances/Practice_Custom_DutyUnion_k05_r5.csv,f69254a3d6137ca09204360fd68de5f56273df51b6a211650e7f18a9f26ae976,97,fe45c239bf6fbb6c2fc0cbb92a099d5c699e847540d820541c55f3acbd7a0884,7dbeb4e78859bdfa565d13940cb742cf2a7125e38cc97297b1cd48cc84562194,2995f3b3a532bfa757be357f2e116d877fc34c6894e29acf3d625fd256a81d94,evsp-dr-trip-identity-v1,5,"[""13304"",""13311"",""13406"",""13409"",""13410""]",d637fd4512a8a33baddc0804ee3b55e8cbe774471e84b6fe4f6bd3bc0c27cfc3,20260803,small_3_5_8_13_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
5,6,1,5,data/scale_ladder/instances/Practice_Custom_DutyUnion_k05_r6.csv,bbaed5d68ecaa4d90b3f9d2e7a4b02007e3c6a61f335df74b590205ee2da5b19,127,751eb5e9ac75c208b5a36e928ee1d13078e3ec44c2c48dcb13145288da641097,e3c01139bbdc3d3d3714e495b2a687e6f2fa613ddf7fe07857a5ed8b9d6a9d3e,eb558beac5d5a2249cb3114c9cc7c12e7ab1506b161240a60f914dcea32c00ba,evsp-dr-trip-identity-v1,5,"[""13305"",""13309"",""13313"",""13316uwt"",""13404""]",7203006bd9f50aae9ae68f851c4988917d89db0e16dc25ba368bf922a039840a,20260803,small_3_5_8_13_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
8,4,1,8,data/scale_ladder/instances/Practice_Custom_DutyUnion_k08_r4.csv,c8bad8466ec37e2670deccc6e565bc2e8054a747ffb9efa4ec4c54aeef28734a,186,4ccba316a6c6488f020ca182f59043ae9429e42a5cb89e567fab25c3e97e7451,ff32d30d1c400bc821fbda627349f5cf586373671aa6830d1507745c085827e6,5952fb844d4bf845eafa55e7a7de88a829b41acebe9004eec43feaace1daf2b5,evsp-dr-trip-identity-v1,8,"[""13307"",""13312"",""13313"",""13315"",""13406"",""13407"",""13408"",""13410""]",7065809fe21c6b1eadb7029cd9f91223b36368c78b440f8b9f925a69f8d5180f,20260803,small_3_5_8_13_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
8,5,1,8,data/scale_ladder/instances/Practice_Custom_DutyUnion_k08_r5.csv,e52495a48dd6c7d79b716a27f7a438303adf1035563afc57bc7c8c76d9ec8e28,136,4b1e788e41b96e3481301e54b4aef07662438cd62f6a7b3795f1a62dacb95ec3,87ef3e03a99fdd08632d1e74dda2c6287b549293c6d781c0693789f1095ae25c,5f3b3d758afbfe27f28fd7af93543feac6c92b778a905dc1013c063fa40dcb6b,evsp-dr-trip-identity-v1,8,"[""13306"",""13316uwt"",""13321"",""13323"",""13402"",""13405"",""13408"",""13411""]",11ee3aaf8a48593ff3d7c53cd5ba04733a3fd1d8d214be6d1553ebd93ef96616,20260803,small_3_5_8_13_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
8,6,1,8,data/scale_ladder/instances/Practice_Custom_DutyUnion_k08_r6.csv,ef872319d81bb2cdd580a7c935d8f158bb7b686d0eff8916eac17922353576f8,144,16e971cd14c2908b429ef07ea3f3752d69f36c3611e13ce7cc85d4813f763dea,a0eaa611c79879ac3b2fd6b96567f62acbe1e320826093c4eb9d218c25126fdc,8761e4ff17dda472b8a46f1f930121956770a895fcfa3ccb9fdbb4f3eda49235,evsp-dr-trip-identity-v1,8,"[""13311"",""13313"",""13316m"",""13323"",""13402"",""13405"",""13409"",""13413""]",29d47402622ceb39ea86b24d21396db0868c881997b0d8d7f9c5b080fad6528b,20260803,small_3_5_8_13_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
13,4,1,13,data/scale_ladder/instances/Practice_Custom_DutyUnion_k13_r4.csv,5bf142221055f18b5c83bc294720dfa96cb8196cb5b32aebcb0598f7e459f72d,308,77b24e8cb53ebbfaf8d4a1a85bae62dd2b7e4832b9b7711b27ecc1dcbd9ba769,420ae2b343ec09d8b654b0121c4e115595577b844306cbd6dbe5d875948c4384,bc2e8270aaa128770a0b2065beb650553231ad26679175565da2a9451bcfb4df,evsp-dr-trip-identity-v1,13,"[""13303"",""13305"",""13307"",""13308"",""13312"",""13315"",""13320"",""13405"",""13407"",""13408"",""13410"",""13411"",""13412""]",598fdcd22be0459489c8337487e7f42653bc6783f809bd140e9de5279ac22c95,20260803,small_3_5_8_13_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
13,5,1,13,data/scale_ladder/instances/Practice_Custom_DutyUnion_k13_r5.csv,eb8bade5418d3c6ab936cfc30b304c4851cea4cc4d5af95996f606cbb1744343,382,19a2ed639e51d1ba3c4f040c72e50f67c0e4b8dd9882b528eb2f0db7a55a7fbe,0c444ad36a025870c2ab94a345680e1c6bb1a062d901b9f9318983c38c0d2afb,66659a7e7e88955b95a46be08073d3f2506a5eb715c5e7942370f7b7ed39522b,evsp-dr-trip-identity-v1,13,"[""13302"",""13303"",""13304"",""13306"",""13307"",""13308"",""13310"",""13315"",""13319"",""13325"",""13411"",""13413"",""13414""]",6c635e6a4031c7ce4b49f20d6ebb57518359d3a1586671ca20c39dab800ac4ca,20260803,small_3_5_8_13_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
