scale,candidate_rank,duties_json,duty_set_sha256,candidate_seed,nested_chain_id,selected_family,selected_role,trip_count,peak_concurrency_lb,service_kwh_total,service_kwh_per_duty,duty_trip_count_max,duty_trip_count_cv,scheduled_intertrip_gap_median_min,service_span_min
9,14,"[""13301"",""13304"",""13307"",""13312"",""13317"",""13323"",""13326"",""13402"",""13404""]",a55a208dc70ace7d850ae286b34af3f1d8c3d3aaa1a8bf7a3d89977f5f28601b,2026090409,,,,234,9,4633.91997151,514.879996834,46,0.475224436,3.0,1272
9,15,"[""13304"",""13308"",""13310"",""13316m"",""13319"",""13322"",""13323"",""13324t"",""13410""]",a59c53019f8feaa0ad17b23d288de3a92979ffc16bafc3d570be2f0dea6df1ad,2026090409,,,,209,9,3806.73997212,422.971108013,37,0.351471152,3.0,1254
9,16,"[""13309"",""13311"",""13312"",""13314"",""13323"",""13325"",""13402"",""13404"",""13409""]",d370f9c1057e613b8689570832053d5b9216f8eb7e125448d085478c300d55b3,2026090409,,,,199,9,4623.47796602,513.719774002,46,0.553266103,6.0,1272
9,17,"[""13313"",""13319"",""13322"",""13324t"",""13325"",""13401"",""13403"",""13404"",""13406""]",efd3798fdc2a22dd257ed487d8153a84c74aa7fc191424625ee3a983e16672a7,2026090409,,,,207,9,4894.21695854,543.801884282,42,0.441018089,5.0,1277
9,18,"[""13302"",""13307"",""13311"",""13325"",""13403"",""13405"",""13406"",""13408"",""13412""]",2c675084b16ab33c8df234330f02869f8d23a567a865985ad8e4a86c1221b305,2026090409,,,,188,9,4777.71396058,530.857106731,50,0.6511125,7.0,1258
9,19,"[""13303"",""13309"",""13310"",""13312"",""13321"",""13324t"",""13326"",""13408"",""13411""]",02c48b3e1f36b6f0f9efd7b96eba79f4aabaf854f7ba50c261ae15b117c38605,2026090409,,,,232,9,4367.65896808,485.295440898,54,0.529628962,3.0,1241
9,20,"[""13301"",""13305"",""13311"",""13315"",""13316uwt"",""13403"",""13404"",""13411"",""13413""]",7db45f6a516625fe824d40ba677dec2b26f3c38788c43d216c58b3cd8b783dc6,2026090409,,,,192,9,4615.12397402,512.791552669,36,0.384006429,7.0,1161
9,21,"[""13304"",""13306"",""13309"",""13311"",""13315"",""13318"",""13325"",""13408"",""13411""]",3fc30f284f8d88f8604b6ebe757a72c19f8c63c15f1c45db3bac2ba65342df2a,2026090409,,,,234,9,4352.62296722,483.624774136,42,0.40460856,3.0,1243
9,22,"[""13301"",""13308"",""13316m"",""13319"",""13323"",""13404"",""13407"",""13411"",""13413""]",a46fd72afc414888cc725ec2ad5ac09bbf85e6a1737c219d3ca6a32b70eacaad,2026090409,,,,188,9,4766.63097227,529.625663586,36,0.407114747,7.0,1259
9,23,"[""13307"",""13308"",""13321"",""13322"",""13323"",""13324muw"",""13326"",""13401"",""13406""]",5ce710bf86dcc29a62d4308d6b49414d398606a1fa8170ea8a7450d5d42ff013,2026090409,,,,166,9,3490.20897801,387.800997557,31,0.369587028,4.0,1252
9,24,"[""13308"",""13312"",""13320"",""13321"",""13323"",""13324muw"",""13401"",""13406"",""13414""]",c49cda3f424f9e9f5dfe84f875c6b818307d3fcc5bfe506e0aa30c69af45ba3e,2026090409,,,,178,9,3987.92897052,443.103218947,46,0.567443541,6.0,1259
9,25,"[""13312"",""13313"",""13321"",""13322"",""13324muw"",""13401"",""13403"",""13404"",""13413""]",2bb439d76320a6080d7600749f4826e200c41c5c2622757eb33aa6af9105f66c,2026090409,,,,206,9,4931.20195998,547.911328887,46,0.477014311,7.0,1259
9,26,"[""13304"",""13311"",""13315"",""13401"",""13406"",""13407"",""13409"",""13410"",""13413""]",8d00c690026477bf24b5cbcb0e14645c5393c88d419c4accf6fe748b95cb4e03,2026090409,,,,172,9,5028.37096988,558.707885542,37,0.429682238,7.0,1286
9,27,"[""13301"",""13302"",""13303"",""13304"",""13308"",""13309"",""13321"",""13323"",""13409""]",d6720f8b3e7077d542ee85b63f9bdbe81de06b8cbbb5983befec7b2bbb50cfea,2026090409,,,,277,9,4841.56396794,537.951551993,54,0.464260489,3.0,1260
9,28,"[""13303"",""13305"",""13309"",""13314"",""13315"",""13321"",""13326"",""13401"",""13412""]",ddf0e3e701356d1bdd7abfd4721333f1d9ebc05b9ffb3cf9f0622dbecbcb1afa,2026090409,,,,223,9,4151.52797849,461.280886499,54,0.482349482,3.0,1252
9,29,"[""13304"",""13312"",""13320"",""13325"",""13326"",""13410"",""13411"",""13413"",""13414""]",9a539f85475cd809c3bd7c6ce41c256cb7367e6f233579b35ce7d0c2d0244ba9,2026090409,,,,218,9,4904.26196401,544.917996001,46,0.525023997,5.0,1254
9,30,"[""13301"",""13303"",""13317"",""13324muw"",""13407"",""13409"",""13411"",""13413"",""13414""]",a9d4b2e7f7c9dc9a69ba1afdd35c5cfb6cea62e5955d2960a2384bfb14612cd0,2026090409,,,,219,9,5376.24896864,597.360996516,54,0.562144782,7.0,1241
9,31,"[""13304"",""13308"",""13311"",""13319"",""13322"",""13402"",""13407"",""13409"",""13413""]",effdddbfc1a9e365356334d69a6d872fadcc781436b2f0dbee643e64ca3b7aab,2026090409,,,,201,9,4971.48496727,552.387218586,37,0.34490209,7.0,1274
9,32,"[""13303"",""13305"",""13311"",""13312"",""13313"",""13316uwt"",""13318"",""13325"",""13406""]",b2e6c5722a703e630b3593c10139ba99533499ab3dd395314c528a69b0bf7837,2026090409,,,,291,9,4959.88195238,551.097994709,54,0.409526269,2.0,1257
9,33,"[""13306"",""13310"",""13311"",""13317"",""13326"",""13402"",""13407"",""13408"",""13410""]",346323d8da3f2e3489bbd916ca50ebbf0271f851ddf0e02e0c2afe288b049187,2026090409,,,,186,9,4600.85096819,511.205663132,37,0.382363535,6.0,1283
9,34,"[""13305"",""13306"",""13307"",""13309"",""13314"",""13321"",""13404"",""13411"",""13413""]",4509bb5c6ce2df441dd3befe468d3bf88eed91d4670b6cbd067ab49b652c42c1,2026090409,,,,181,9,4172.5439738,463.615997089,30,0.295980005,6.0,1229
9,35,"[""13317"",""13318"",""13319"",""13320"",""13322"",""13326"",""13402"",""13409"",""13413""]",26e3a86072065573d9ccadcd461472a87e375df6c4d9db85046aa0533df30ae5,2026090409,,,,209,9,4648.24396936,516.471552151,37,0.324019195,6.0,1274
9,36,"[""13306"",""13310"",""13311"",""13318"",""13402"",""13405"",""13408"",""13409"",""13414""]",400a355e8bcc515d45c87ff917a68dd9662d07eff8a23e54a0d311f9fb9bbb6d,2026090409,,,,171,9,4628.394965,514.266107222,33,0.401597303,7.0,1256
9,37,"[""13308"",""13313"",""13316m"",""13318"",""13324muw"",""13325"",""13402"",""13405"",""13412""]",e2d647c3fff4f56826ba2f94e4b4562c8785b07210038814609588f04c034bf3,2026090409,,,,228,9,4963.22995574,551.469995082,42,0.396487347,3.0,1272
9,38,"[""13301"",""13303"",""13308"",""13310"",""13315"",""13317"",""13410"",""13411"",""13413""]",e116142904603190019826e17a528d64356fa730781c3d85eb570ce97f5f17b5,2026090409,,,,257,9,5119.0119711,568.7791079,54,0.434614848,3.0,1268
9,39,"[""13302"",""13304"",""13305"",""13318"",""13319"",""13326"",""13407"",""13411"",""13413""]",442137f0a36ddc958079606e0c9b06a8344e338a0be29928dfcebe9d0209928d,2026090409,,,,244,9,5039.62696196,559.958551329,50,0.412002471,3.0,1257
9,40,"[""13312"",""13313"",""13321"",""13322"",""13324muw"",""13325"",""13405"",""13410"",""13414""]",70ea827265504aa59462f5ad7cf612d34614f19bfcc0df4f1f8d8a26df90fec6,2026090409,,,,230,9,4837.57295698,537.508106331,46,0.480705216,3.0,1246
9,41,"[""13303"",""13306"",""13307"",""13315"",""13322"",""13323"",""13324t"",""13325"",""13402""]",d76b67b4b0a1a38b04f59aa081bd7edaeaca604a0d62fc8f4b2cd76544d33a86,2026090409,,,,241,9,4123.99497169,458.221663521,54,0.508023467,2.0,1272
9,42,"[""13307"",""13309"",""13315"",""13318"",""13319"",""13326"",""13405"",""13409"",""13412""]",af2f08cfb94749fa3992a514f5f09b813efb75bf7de38997d03a1820da584ed9,2026090409,,,,194,9,4306.07397182,478.452663536,33,0.320749468,4.0,1237
9,43,"[""13305"",""13307"",""13308"",""13314"",""13320"",""13322"",""13402"",""13406"",""13413""]",ec06e124f9415aadcc255dd792e5d8a565e58823b70bb7ccdafda58d7bcd30e6,2026090409,,,,180,9,4089.56397332,454.395997036,31,0.326598632,7.0,1153
9,44,"[""13301"",""13302"",""13305"",""13312"",""13314"",""13316uwt"",""13405"",""13406"",""13409""]",3fff4e888a23a6773648ec13b6baf17d5c9d9b2b545b72091c5443de1313e82e,2026090409,,,,243,9,5018.22396454,557.580440504,50,0.494135706,4.0,1260
9,45,"[""13308"",""13309"",""13312"",""13314"",""13322"",""13401"",""13402"",""13406"",""13414""]",0a29c8ff9adb2734c651a581292b1333405a34644fa17c8244bd2c1ad036b0fa,2026090409,,,,196,9,4620.26996972,513.363329969,46,0.483430146,7.0,1259
9,46,"[""13302"",""13305"",""13309"",""13313"",""13314"",""13325"",""13406"",""13408"",""13409""]",961dd58c8e6e297f4c91853ded35515d3d840abf62e1603603f054cd506484f6,2026090409,,,,239,9,4971.91395582,552.43488398,50,0.491342388,3.0,1257
9,47,"[""13304"",""13306"",""13307"",""13318"",""13320"",""13325"",""13402"",""13405"",""13407""]",72851148ac5a4c88ead17fe711ba7724b959a06412c42bc48e96b23d7de9ef63,2026090409,,,,220,9,4715.16696248,523.907440276,42,0.425188339,3.0,1272
9,48,"[""13304"",""13312"",""13323"",""13324muw"",""13404"",""13408"",""13409"",""13410"",""13411""]",942ada27b701d0461c25931fd099c971529f17464f05f23630924db55699903f,2026090409,,,,182,9,4850.42896724,538.936551916,46,0.589168832,7.0,1263
9,49,"[""13302"",""13310"",""13312"",""13316uwt"",""13326"",""13401"",""13404"",""13405"",""13414""]",e24886548abb737b9d5f77ba28974edcc923a4b1330e3ad4e59755ebd8e839c8,2026090409,,,,216,9,4881.71496207,542.412773563,50,0.561770789,5.0,1278
9,50,"[""13308"",""13310"",""13313"",""13318"",""13324t"",""13405"",""13408"",""13409"",""13411""]",3355ce58528ea0f646a514102cfcbc512938ec46206f538e7d5d9140808b50b4,2026090409,,,,198,9,4760.95895771,528.995439746,37,0.411608415,5.0,1219
9,51,"[""13305"",""13316m"",""13322"",""13323"",""13326"",""13404"",""13405"",""13410"",""13412""]",f29578b5e4e9092c563a0cf98b0fca9304dbb4392910ffda1e0ccd6746c37103,2026090409,,,,168,9,4232.19697483,470.244108314,30,0.349014648,7.0,1263
9,52,"[""13304"",""13312"",""13315"",""13316uwt"",""13318"",""13321"",""13402"",""13407"",""13414""]",56cd4df54359f2f24089e56e7f9e35ec99e4c689297186ccd7534a6cc55b667b,2026090409,,,,236,9,4930.73596846,547.859552051,46,0.400687072,3.0,1272
9,53,"[""13308"",""13309"",""13321"",""13323"",""13324t"",""13406"",""13407"",""13408"",""13413""]",c174c208fc0166a14bc9037595942b0f42cda004eaee897b48f61ec73f083ae8,2026090409,,,,158,9,4197.44497343,466.382774826,31,0.367306788,7.0,1213
9,54,"[""13305"",""13311"",""13313"",""13314"",""13318"",""13323"",""13326"",""13412"",""13414""]",a3599491142584e36bc81edff8536061e08d37f7d7deae01dea43794ea6dc0cd,2026090409,,,,186,9,3819.70496635,424.411662928,37,0.467463766,4.0,1214
9,55,"[""13304"",""13308"",""13310"",""13311"",""13312"",""13316m"",""13321"",""13411"",""13414""]",6581969845d04e7575082fdbf004e44926f1af14e3ef755f786ed353e5d4f8db,2026090409,,,,223,9,4336.7259669,481.858440767,46,0.435000693,3.0,1243
9,56,"[""13305"",""13307"",""13309"",""13310"",""13314"",""13323"",""13405"",""13410"",""13414""]",a75ed0071dfad22ed13c452f2166e88dfd95a353c41ebc134a49d2e1f2714577,2026090409,,,,155,9,3603.54197478,400.393552753,30,0.374082297,6.0,1246
9,57,"[""13305"",""13306"",""13313"",""13323"",""13324muw"",""13401"",""13405"",""13407"",""13410""]",f947e54f0972b1759bc1fd98550f8d19d05cd6536122bed4e76905e6bfaf641f,2026090409,,,,179,9,4436.14696224,492.905218027,37,0.470734624,6.0,1286
9,58,"[""13304"",""13308"",""13310"",""13313"",""13322"",""13405"",""13409"",""13412"",""13414""]",9ebd7f9e3d5967d3864c168d08806c981d13aecffa27d1c7e54510d2d578cf44,2026090409,,,,212,9,4930.42396034,547.824884482,37,0.396282566,5.0,1243
9,59,"[""13305"",""13306"",""13308"",""13312"",""13320"",""13321"",""13322"",""13326"",""13410""]",2405e2e1a0e15788226c212c5c9fabb22ba554f00ea8cd2b96c705a652c396d2,2026090409,,,,237,9,4200.43396921,466.714885468,46,0.339183823,3.0,1244
9,60,"[""13307"",""13309"",""13314"",""13316uwt"",""13317"",""13324t"",""13401"",""13403"",""13407""]",224081fefcb2ff2692650492cc16cc080efd432e5101c124815b084931bdd88d,2026090409,,,,172,9,3984.66897419,442.740997132,37,0.366232924,6.0,1256
9,61,"[""13306"",""13317"",""13322"",""13324t"",""13326"",""13401"",""13403"",""13405"",""13407""]",7c9c06689326495c869864bf75db33b804a1672c870f0e2c261e3eb64a4bcc79,2026090409,,,,188,9,4466.58797126,496.287552362,37,0.384600585,6.0,1256
9,62,"[""13307"",""13311"",""13316uwt"",""13317"",""13319"",""13320"",""13326"",""13406"",""13407""]",dedeb5ec41ba7da2f4b76e68be863b4d75605b8ffb471e969b30a2b28314c1e1,2026090409,,,,182,9,3838.61897218,426.513219131,37,0.354129298,5.0,1234
9,63,"[""13301"",""13302"",""13303"",""13306"",""13309"",""13318"",""13321"",""13322"",""13407""]",bb73aa0cf8325765db2853f2ffcde01422b3fb42d3b1cb5150ccebbf6fadeb78,2026090409,,,,290,9,5008.80296326,556.533662584,54,0.371486713,3.0,1260
9,64,"[""13305"",""13307"",""13310"",""13320"",""13323"",""13401"",""13402"",""13406"",""13411""]",da5988c29b952e01153371ff666fd0e45151b1dcf759f17f64f1254a85229396,2026090409,,,,150,9,3920.14597152,435.571774613,30,0.372021505,7.0,1156
9,65,"[""13313"",""13317"",""13319"",""13321"",""13402"",""13403"",""13408"",""13412"",""13414""]",07bd8f042bb9eed6ea04fb122bd114753d7da453a2adf38a42b82d59244ebbe6,2026090409,,,,192,9,5014.07696333,557.119662592,37,0.450151884,7.0,1274
9,66,"[""13306"",""13311"",""13320"",""13323"",""13324muw"",""13325"",""13326"",""13401"",""13408""]",076ead010324057640c69cc43ed0e07ca261d381ce71e4007a45f85773718af2,2026090409,,,,171,9,3456.13897127,384.015441252,42,0.533864002,3.0,1275
9,67,"[""13306"",""13310"",""13317"",""13322"",""13324muw"",""13325"",""13401"",""13407"",""13409""]",4e84494a3b888ef3914b66921e59784e6ef4ac1d8698a1c3a6cce2d79e015322,2026090409,,,,222,9,4764.55496482,529.394996091,42,0.386968137,4.0,1275
9,68,"[""13302"",""13305"",""13315"",""13317"",""13321"",""13324muw"",""13402"",""13409"",""13413""]",8076c154f79178da670f7522a0cef20a18477027d111f44f2a33a85aa48e9ba7,2026090409,,,,236,9,5000.87296754,555.652551949,50,0.42495585,4.0,1275
9,69,"[""13307"",""13309"",""13312"",""13314"",""13315"",""13318"",""13322"",""13407"",""13411""]",6d4cb8109ea2567dc01532756ffc0db1cfb3c0273a7d563c49233af86adaed86,2026090409,,,,220,9,4294.65497026,477.183885584,46,0.412310563,3.0,1209
9,70,"[""13301"",""13302"",""13308"",""13318"",""13319"",""13322"",""13401"",""13411"",""13413""]",a0e1f80e4bd4e5c7b1832f401dde057d122037f0851f68b94afcfba59a0c1034,2026090409,,,,244,9,5012.82196353,556.98021817,50,0.42607185,3.0,1278
9,71,"[""13303"",""13309"",""13311"",""13313"",""13316uwt"",""13318"",""13401"",""13402"",""13404""]",3626c5d9011472268f9364312ef7e96957996f3ca0fcba8617273555bc8f9fd7,2026090409,,,,227,9,4874.40895888,541.600995431,54,0.510405228,3.5,1256
9,72,"[""13301"",""13312"",""13316uwt"",""13319"",""13321"",""13324muw"",""13325"",""13406"",""13407""]",fd7b803292c44650329566a7dd91dbdd1298c6ca6c9ee168ce399d7b49f92d29,2026090409,,,,242,9,4826.67396549,536.297107277,46,0.410569995,3.0,1259
9,73,"[""13305"",""13307"",""13313"",""13315"",""13321"",""13401"",""13404"",""13405"",""13410""]",282e27d33f4a201b0389fcf84bce724c69c5bf40d1a936279f59abd78419a7de,2026090409,,,,192,9,4581.88996618,509.098885131,37,0.404443097,6.0,1286
9,74,"[""13303"",""13310"",""13314"",""13316uwt"",""13319"",""13324muw"",""13402"",""13405"",""13410""]",14333db2b7a030918e1d2bbc26c6054b1fbaffd87689b0f6d1a0613e99885ad5,2026090409,,,,204,9,4438.61597019,493.179552243,54,0.523248437,4.0,1283
9,75,"[""13311"",""13312"",""13314"",""13315"",""13317"",""13318"",""13322"",""13326"",""13414""]",4503f7100b79f00771f39bc12550305580387171d855ab23f7b12f4d2a70a54b,2026090409,,,,236,9,4050.88497279,450.09833031,46,0.413781546,3.0,1199
9,76,"[""13301"",""13313"",""13320"",""13324muw"",""13325"",""13401"",""13412"",""13413"",""13414""]",a2ab7964575e94012d0cca08107d7c6776becf66ab390682b36e610ef27078b8,2026090409,,,,202,9,4774.09195958,530.454662176,42,0.509780818,6.0,1275
9,77,"[""13303"",""13307"",""13311"",""13316uwt"",""13320"",""13324muw"",""13326"",""13404"",""13411""]",e12ea482ebd90d6e5325fe5ea767d6dc9355162b6acaa4a165260acc0539d805,2026090409,,,,189,9,3836.93897157,426.326552397,54,0.56789028,3.0,1198
9,78,"[""13304"",""13307"",""13309"",""13312"",""13313"",""13316m"",""13321"",""13406"",""13409""]",68fffe3fffe046b07892b64137b5b4ba76e7a0002237aa59abccdfd9a1c8f9e4,2026090409,,,,233,9,4646.85696072,516.31744008,46,0.412999544,3.0,1243
9,79,"[""13305"",""13309"",""13311"",""13313"",""13322"",""13323"",""13401"",""13404"",""13414""]",853d674fa73136cabcd5f4a07d4c8eadb0abe872dc0b8fec0a0a7ba3250f3709,2026090409,,,,178,9,4027.3179655,447.479773944,37,0.460194324,6.0,1185
9,80,"[""13305"",""13315"",""13317"",""13401"",""13406"",""13407"",""13410"",""13411"",""13413""]",744a4b7a355c7ec3b7c4d7794762a330f27dd1847166f5fd3eff163ffcd04f63,2026090409,,,,185,9,5108.00397142,567.555996824,37,0.429721231,7.0,1286
9,81,"[""13302"",""13311"",""13314"",""13316uwt"",""13319"",""13322"",""13324t"",""13406"",""13413""]",db3e57f4337d23dacf055b1b37415fb1512a9e9f82885af6b9af7289cffb03c1,2026090409,,,,201,9,4066.78796786,451.865329762,50,0.484557704,4.0,1257
9,82,"[""13303"",""13318"",""13320"",""13404"",""13407"",""13408"",""13409"",""13410"",""13411""]",8d4d83d92f03abe572f3dfba6ec58d21ab31e67bb04a02d0352139484c4059c3,2026090409,,,,194,9,5361.96096426,595.773440473,54,0.596559021,7.0,1268
9,83,"[""13309"",""13313"",""13321"",""13324t"",""13401"",""13402"",""13406"",""13408"",""13412""]",8aa1f071dbcadbdeda1fd730f9ff3ff1332510f948287965a359543bac8fb77c,2026090409,,,,168,9,4677.38596319,519.709551466,37,0.399297853,7.0,1252
9,84,"[""13301"",""13313"",""13318"",""13322"",""13324muw"",""13404"",""13407"",""13409"",""13410""]",296f5937af37957ec8a3c206619ec67c3d107e39c2b6a349bcfdd0b44c17a926,2026090409,,,,215,9,5274.61395874,586.068217638,37,0.362492424,6.5,1268
9,85,"[""13303"",""13304"",""13318"",""13322"",""13324t"",""13403"",""13408"",""13410"",""13413""]",3c980ac52517f711654dac7ac6a6127a65fa7457537c50d62520b687e5f6107c,2026090409,,,,223,9,4833.53596741,537.059551934,54,0.540726109,3.5,1268
9,86,"[""13301"",""13306"",""13308"",""13322"",""13323"",""13324muw"",""13326"",""13402"",""13407""]",db4187b1984dfda949f2aac0c2aafdde121fd88718c6147131fc6e0960b7504a,2026090409,,,,203,9,4237.63597413,470.84844157,36,0.3698192,4.0,1253
9,87,"[""13310"",""13312"",""13318"",""13323"",""13324muw"",""13404"",""13408"",""13409"",""13410""]",cad14a8528afb25ea6d0729320df33f2d6eec40e491dde2526b346a630cdb762,2026090409,,,,188,9,4657.00496404,517.444996004,46,0.536628055,6.0,1263
9,88,"[""13305"",""13308"",""13309"",""13311"",""13314"",""13315"",""13325"",""13403"",""13406""]",71eb8f808b2598544afab5e24b02e6b6c5339d5ad7297ba3aebf10d3729d9684,2026090409,,,,214,9,4168.36797176,463.151996862,42,0.402791812,3.0,1255
9,89,"[""13305"",""13306"",""13309"",""13310"",""13315"",""13322"",""13324t"",""13402"",""13413""]",e97e9b63bd9b9cb23760f182babc7a968f55bb6ba02003b4896ec6cd8971c085,2026090409,,,,213,9,4186.49397137,465.165996819,31,0.241498989,3.0,1137
9,90,"[""13307"",""13317"",""13320"",""13321"",""13402"",""13403"",""13405"",""13407"",""13408""]",ef670f386d335aef3f0437cbe0164716ca457df9ed24b1db379408049e51dbf7,2026090409,,,,162,9,4537.60797134,504.178663482,37,0.406564785,7.0,1253
9,91,"[""13305"",""13306"",""13307"",""13308"",""13312"",""13316m"",""13318"",""13322"",""13401""]",4219b00747b9244585b8a6d50d024813f224a7cce734a339043118087caf66c3,2026090409,,,,246,9,4208.49196612,467.610218458,46,0.348362362,3.0,1259
9,92,"[""13302"",""13305"",""13307"",""13310"",""13312"",""13322"",""13324t"",""13402"",""13405""]",63ea7557e08d64f5f7aa635fac0acb64532214701ce258fc5547f586966307a3,2026090409,,,,239,9,4558.62995947,506.514439941,50,0.474374403,3.0,1275
9,93,"[""13304"",""13312"",""13314"",""13316uwt"",""13317"",""13324muw"",""13401"",""13408"",""13412""]",ce845d4e2447856ceb0a4ac202e4d0d418959cd994e0745292d4d69c2ea2bd40,2026090409,,,,212,9,4394.29197098,488.254663442,46,0.51727887,4.0,1275
9,94,"[""13301"",""13302"",""13310"",""13323"",""13402"",""13404"",""13406"",""13408"",""13409""]",2c25f9c9798075c062aaf072fdd7cb10f82060aee06a69267d355ae5c2afd5dd,2026090409,,,,194,9,5137.54596538,570.838440598,50,0.586452068,7.0,1275
9,95,"[""13307"",""13308"",""13313"",""13320"",""13324muw"",""13404"",""13405"",""13406"",""13409""]",e2f3d587e335b19e890f372dffbbd3cb88896d5b8914b8591bac1a600f0d68a6,2026090409,,,,177,9,4583.66796044,509.296440049,37,0.401805749,7.0,1236
9,96,"[""13304"",""13305"",""13306"",""13309"",""13312"",""13318"",""13323"",""13407"",""13409""]",28ad2149775f8aecc66088927bacc5acb6877e4fb71e05f84efe422ef9f6e25f,2026090409,,,,240,9,4687.14896426,520.794329362,46,0.414578099,3.0,1243
9,97,"[""13301"",""13307"",""13309"",""13310"",""13316m"",""13317"",""13321"",""13323"",""13410""]",2b6537bb7043c4d61c11ceac81401063aa0aea3db43443db0a7c70d32f60bf63,2026090409,,,,202,9,3791.28697612,421.254108458,37,0.398014876,3.0,1268
9,98,"[""13301"",""13308"",""13310"",""13311"",""13315"",""13320"",""13323"",""13324t"",""13414""]",89190cd85a4ad3179e4b6e1c71acb3b399e08445faeb9afc55e7ea62e866ae7f,2026090409,,,,190,9,3468.48197481,385.38688609,36,0.437254086,3.0,1161
9,99,"[""13301"",""13303"",""13308"",""13313"",""13314"",""13316uwt"",""13318"",""13403"",""13410""]",060afdfa83680ff325347ff59fd149c000571f605c8754f0a42d25ef39cb35af,2026090409,,,,257,9,4905.7879631,545.087551456,54,0.438360999,3.0,1268
9,100,"[""13308"",""13309"",""13313"",""13314"",""13321"",""13326"",""13401"",""13404"",""13411""]",47264f75aee58681b347c1079506f083806d7950a6cfaf3a9307bb20293c2e58,2026090409,,,,192,9,4420.57596785,491.175107539,37,0.359035165,6.0,1252
