id,chain,k,added_duty,added_trip_count,trip_count,input_sha256,previous_case,stage_enabled
w3_k22,3,22,13410,15,508,6f6fe008df2765b6c7f7cc6211922a0910642e0fd1751bcc3d7ede8afce44976,w3_k21,True
w3_k23,3,23,13406,14,522,9d934833d3fd268260dbecf0d9ca724bd1cd18498edeb0624253aa5275c88073,w3_k22,True
w3_k24,3,24,13401,12,534,901eb9eea2484884e258e740c3b9b32902cdc25df38f6a21723dd2f49eac23cf,w3_k23,True
w3_k25,3,25,13409,17,551,4d15a0c3804cbb85904d5fa6a51dde2140f04f24765f40ebde75382d2e2036f2,w3_k24,True
w3_k26,3,26,13405,13,564,9a3d4e5ab589cec5aa5ee0d1e4258dcbf4fb09b7f90938b4315824fbe068d7d5,w3_k25,False
w3_k27,3,27,13314,16,580,f6fe7b6973fc8579def0ffcc4043328a10dbe4033173b25fd168ea385606933d,w3_k26,False
w3_k28,3,28,13322,26,606,f412c76bfb62d9df3c06dd16f8df890734330595df0d622c4507ccb5e80d3b3d,w3_k27,False
w3_k29,3,29,13315,31,637,c2c70ec8eb86a52097a6fd53b1c88c2c14d1c6fde8702d81082d3f05c9139574,w3_k28,False
w3_k30,3,30,13317,37,674,d4483ee1e66fc64413cc8be75ec04226bb29057ad6522a2c1d0a28823399dec6,w3_k29,False
w3_k31,3,31,13325,42,716,5f690900085aa0c8f035ba347eb617f93dd451ca7a9d3ef6db9de9ab485268a8,w3_k30,False
w3_k32,3,32,13313,37,753,c271e4f50e109e2a81857bb36c03449f7232941c7d9bba3d6413192cdfb7d893,w3_k31,False
w3_k33,3,33,13402,17,770,af6e260cb1eb1f9b42535671e34cb628e21a86d6d1659ca40a74226f7c4dd933,w3_k32,False
w3_k34,3,34,13319,27,797,55046607d962b1a9857505742d80778659f62dd34ec2fbd4ca130485ca826204,w3_k33,False
w3_k35,3,35,13306,30,827,1f647eacc1557f311ee97afe778ba7148bee171a70c468e7708adb7c2184d37a,w3_k34,False
w3_k36,3,36,13310,24,851,58f43058aba95e4e6a6b7e0b1658edef04eb6e62139ab3a6159e288f31724d61,w3_k35,False
w3_k37,3,37,13320,16,867,ff33ab8f4bd44cd57d128b90121c9a883cb7cd2a610f871ebdb744fbdbdf8b03,w3_k36,False
w3_k38,3,38,13412,15,882,804df2378f04d708776d23d58dd14b47169405d7b5bff65a2a65ae8451fd61a3,w3_k37,False
w3_k39,3,39,13303,54,936,84f6807ab32d3201ac517b3fd7f98004320ede5923836d795400f542e55b918e,w3_k38,False
w3_k40,3,40,13408,11,947,3508a11f73d1186ae87588656d65ea62812c6e222623ae85488eff26cafb35fd,w3_k39,False
w4_k16,4,16,13302,50,407,34a92b1b015d80e42d7e3a26c820f677402807ab5f754b66ce4fae0cc5bd85b7,w4_k15,True
w4_k17,4,17,13402,17,424,d82f857d9a2e7b34171cabac98906efb40d6aed4e5f43d6981529451c64e445d,w4_k16,True
w4_k18,4,18,13314,16,440,feda8690d136bb879bdff415a6b6cc666ccb86bbcb56f670e800f5f2500220ab,w4_k17,True
w4_k19,4,19,13303,54,494,6256a26241416f81efbba9cd46aae5e7be900cbc3aea1b3744218ae4e94e5b61,w4_k18,True
w4_k20,4,20,13413,15,509,ca5a9a1c54ff25317905656cdd9a9cc5a634eb09df9ee9ef4821a3250d5ceb30,w4_k19,True
w4_k21,4,21,13318,33,542,a1838b57a17da0c4f9637f517871b70f6a4f616f1d2833804484ace290f7bdab,w4_k20,True
w4_k22,4,22,13323,8,550,cf50f0082407eb9cb5317797ebcd3a088184fcd27fe8721eac50348d163a66c0,w4_k21,True
w4_k23,4,23,13405,13,563,60c2c8618325799d2a3dbb3c2cc3455f6faf3c10e4c1e9f1db18114cee785aaa,w4_k22,True
w4_k24,4,24,13409,17,580,1c33631499e0e410c9e83184fcc266efe357995ad7b4555347424441ff812255,w4_k23,True
w4_k25,4,25,13304,37,617,86894981fc7618414b4c5683c87e18198b0c6d40561ab55af72b2044458a6e07,w4_k24,True
w4_k26,4,26,13326,21,638,b2f05813485fee555239a1780836067d28dffdeb0842ad9cd97247372b0636a0,w4_k25,False
w4_k27,4,27,13324muw,17,655,694a33decc4ec2971e74b378e0c4029ac9b045a1ebf679289e4bc1240fe1575c,w4_k26,False
w4_k28,4,28,13320,16,671,99bee86081fdd454961efb00daf9abec09ee45bd03b8cc3bf42c67dff0c21294,w4_k27,False
w4_k29,4,29,13309,22,693,2cd3c50828eed4ac154ede6f9f209ee0b0d7d7c0d55d52065bf642a2f446cf68,w4_k28,False
w4_k30,4,30,13411,14,707,dfc929d5c0e4d8e688ffd3ac1449b36d7425e3180e65b1d9627fd3ac8f441bfb,w4_k29,False
w4_k31,4,31,13319,27,734,0539805f3c2b5a979ae4ee0282d5a16f443fefb51baa563b1740b09a1f8b66d0,w4_k30,False
w4_k32,4,32,13412,15,749,71962f499b36c3d34378405d71ced63df3add47fb8d24df572336e9036000800,w4_k31,False
w4_k33,4,33,13301,36,785,93c6819cbcf77e578d777214c01b1d097927ce86aac9b8c4ea3577194986c820,w4_k32,False
w4_k34,4,34,13315,31,816,af7eddeac187e8b928d772bb4fbcd65f8c4f6cd40a87fb9e81ea8e52e749d9cd,w4_k33,False
w4_k35,4,35,13403,14,830,4d9c1aa941c9e73a5e4af51f717de6900eafb471b9804686d3fc3da37644c82d,w4_k34,False
w4_k36,4,36,13316m,23,853,1872ffe7f41dc3d87ffac2c5199260b2bbbfee769fcb39441fe0076651dec28b,w4_k35,False
w4_k37,4,37,13317,37,890,dcc05bfcfb1ab1c858578b9588f24a6225f8793643398d2598f75a9e61db466c,w4_k36,False
w4_k38,4,38,13408,11,901,3349e3ea17f11797e595a6a124b6f1e2ef86e00d809e819cf9854448d8781049,w4_k37,False
w4_k39,4,39,13305,30,931,08a951a4f1db741d848a2a352b436a468438bcfbb2b55b634d471910c258a5f2,w4_k38,False
w4_k40,4,40,13407,17,948,904070ec8919dd11bf431eab62e1396ad4882d95f7d5917bcf83f34d1e20e607,w4_k39,False
w5_k16,5,16,13304,37,362,6b369cad6fd86c11b032b81efb0a2cea16020e60d9f8de8eae8e672e994d3527,w5_k15,True
w5_k17,5,17,13326,21,383,6e65114752b645b56741e29ed9b6c1e7b6e9a8da9a6463a7c5c825d50dbd1a38,w5_k16,True
w5_k18,5,18,13412,15,398,05b6ee5d0fca1ec4f546d2f18f2f7ac7ba85ce3befb750bd7c2333810b7cfe08,w5_k17,True
w5_k19,5,19,13303,54,452,7d7b1c55460635ac8b4803f7de48d14c3702caacefdae552b3b7cebfe49461bc,w5_k18,True
w5_k20,5,20,13301,36,488,bb72c5c500fc9fbe0d14bcb3d7ac5f49956c5b8cd630955ac3da99c23c4db779,w5_k19,True
w5_k21,5,21,13308,31,519,42c8813a6d46e3d7cc289a2808efcc17ae324ad0109b405fd5cd46201aaa3691,w5_k20,True
w5_k22,5,22,13309,22,541,86fcf27aec87222f92c576f4f13e963768724a3e7fa97c91e01d29c985be9cd3,w5_k21,True
w5_k23,5,23,13323,8,549,2fe73eb08bc9e1732e1a184bd7703ffbde66d7cf20bbe1a82ee43a1900ecf8b1,w5_k22,True
w5_k24,5,24,13318,33,582,4725defb2e6077d92965a495a665ca674beda2bf46710b88cdb5f7968c8c9b1c,w5_k23,True
w5_k25,5,25,13325,42,624,c16a85cdc05d7cbf0ecd4ac0de2e295d9cddf3800b961cb9f3e1e4fca446a908,w5_k24,True
w5_k26,5,26,13414,12,636,e203ab1c1eab871ec2f993133ad37e6945403fb4957023600a4a6352f7c16b7c,w5_k25,False
w5_k27,5,27,13310,24,660,ea4502bdefab34329033715cec9d116d86e5857c81f27291194e3a86722e28e9,w5_k26,False
w5_k28,5,28,13406,14,674,1d9f80b86d85e7f43ea37aeab36524dbedd518a397d2ec68a1450811332e14f5,w5_k27,False
w5_k29,5,29,13324muw,17,691,a50b41e17ecea246170021fbd256d618305bcdb636f38b9654ec04282f40169d,w5_k28,False
w5_k30,5,30,13405,13,704,688b32fbc8654c621451469da938c9c893b071aa4afe3c487802fbc8ccc0ee23,w5_k29,False
w5_k31,5,31,13401,12,716,83585a8fbcba73f0262ba2e32e389bd014874c7f2e51aea65183e6dbed6321df,w5_k30,False
w5_k32,5,32,13307,15,731,6b9ef57cd8f3fe3b6162c9bff849f950df2322a8729f42c34243b7d5fa3fd813,w5_k31,False
w5_k33,5,33,13313,37,768,a767412c2bfaf7ce9ba19ad0d998d38e8d6fe3ae4652d89d7240039b889787b7,w5_k32,False
w5_k34,5,34,13315,31,799,4b709fd83a8985072881e23f7e178e507fa259e19a5a9cb1943be5e18a48d05f,w5_k33,False
w5_k35,5,35,13321,22,821,16ba1c7571356dfda0396ffa9b27056699a47a6c441efbe433735f66a4fa18f1,w5_k34,False
w5_k36,5,36,13409,17,838,a65097a5fc1869e04beb166d2a9c1af2ab9d64e406f912bec2e4b824a54e5e14,w5_k35,False
w5_k37,5,37,13302,50,888,80509b5c491555a1e59f20d67ce6c408d8678e848cb359f6e3a014496582af86,w5_k36,False
w5_k38,5,38,13403,14,902,ee6cc28054bd8978b0a1e08d69b2b8304d35f9305d5d450c6366a2bedcd98f67,w5_k37,False
w5_k39,5,39,13306,30,932,f4e911c6b6d4acafc83d9ab4a4f84a876127a77ec5b98cbfe433c38dc5805900,w5_k38,False
w5_k40,5,40,13311,14,946,1c53d995701acc515431b296ff51445a8312d66621d6c380ea838dac5056e2fb,w5_k39,False
w6_k16,6,16,13412,15,388,a265ffaac7032c6fb26994d40b916b50b075d469b1e064f3ad6cee2dc2960aba,w6_k15,True
w6_k17,6,17,13411,14,402,d0180e450f5e159fa70c35d2a0a34a46268d4b3226e1a1a40898c0bbc894032f,w6_k16,True
w6_k18,6,18,13305,30,432,0bff3387a3a683c459a370e76b4e69ba72e8d270ba893c75866baa31aecd6608,w6_k17,True
w6_k19,6,19,13405,13,445,9f35327b913849b5988aadc69a18c9cf0a2763cdfbf85306ce446899ecb28167,w6_k18,True
w6_k20,6,20,13406,14,459,27b3ff58da15ecef2b9dc00337e5c7714c0bcd5721016f36fb3d21a722fb5d1a,w6_k19,True
w6_k21,6,21,13316uwt,21,480,a5f5028e21af3e30b86eb3e9b10b23b320be161a0e038f840dba2e8054423fb7,w6_k20,True
w6_k22,6,22,13413,15,495,4b7d6fa5b5d9f17c01fb32794ff857687655c6280cbf5ae27c868b3d89f2de67,w6_k21,True
w6_k23,6,23,13318,33,528,108312f41d51843d43604b0e0d775cd3e974ef7172b99cb0ced1eb57cfa89a68,w6_k22,True
w6_k24,6,24,13314,16,544,708ac7c8de4436af0cf04c7d7a36e693a0319a0bfbf465dfde48bab8c635be23,w6_k23,True
w6_k25,6,25,13301,36,580,ea32b999933f129d45b9c6bfe5d2efe541b78eae5381e0e911ecc185d8d28bb7,w6_k24,True
w6_k26,6,26,13403,14,594,7a2f08dc6873a74370bb306bd3713af3e9ced775ab779944592afd2e60df5a10,w6_k25,False
w6_k27,6,27,13325,42,636,8c3ab2bd5820101f62dd196365fb09824437e3d6726b872a3adb3ac5ce8f7e79,w6_k26,False
w6_k28,6,28,13315,31,667,079b3d554782ac880851b50507d08039385da1995a612dd632c6d76c71526bdf,w6_k27,False
w6_k29,6,29,13402,17,684,b0f03a80ba66da01de71799931ea14d0b2b4da1ca603b47b54cafd922c46a240,w6_k28,False
w6_k30,6,30,13326,21,705,203a55f2a3e041a5659f9a966d7a68d8fac34a1f99c89934bd301557cf52cf5b,w6_k29,False
w6_k31,6,31,13304,37,742,6fd29bf543d3497f2001edbab60eafe524b851192a01a902e082599599c2789d,w6_k30,False
w6_k32,6,32,13317,37,779,68fdd0bd9ee3758ea7a1160233084622ff289118c9bb017c731f9a47b9cbaca0,w6_k31,False
w6_k33,6,33,13404,17,796,b623a28932e95736dd3d4642b500219c5433bd2a91b9e32cb846c919f104f0b2,w6_k32,False
w6_k34,6,34,13323,8,804,c7b7556d659dd841ecaff4b5a6713e9b9207939bc99233ca03f8628a4de2f6e2,w6_k33,False
w6_k35,6,35,13319,27,831,93e7f29c01e60cc928544c0bf5214f2a183da8870a71930bb27b6216acab20ee,w6_k34,False
w6_k36,6,36,13414,12,843,21c76c31c18a954f7aff3590bcefe9f01ef09587eb96a2cf6d86f2c1ec6d8aea,w6_k35,False
w6_k37,6,37,13313,37,880,58a1e030a1b016d2881f1c12924d993e359079381dd66564a673ffb665b39dd2,w6_k36,False
w6_k38,6,38,13321,22,902,454ffbc9c40048700df555d6b90146fc7b0d006fb93d73a2f87b7a6c58218e0a,w6_k37,False
w6_k39,6,39,13306,30,932,3e5d120a47a2d51ae2165add7a4663a2a7d57d69dd4947233d7df6370cb5f59f,w6_k38,False
w6_k40,6,40,13410,15,947,3508a11f73d1186ae87588656d65ea62812c6e222623ae85488eff26cafb35fd,w6_k39,False
