cell_id,scale,selection_replicate,sample_family,family_replicate,selection_role,nested_chain_id,nested_parent_cell_id,addition_rank_duty,relative_path,instance_file_sha256,published_upper_instance_sha256,duties_json,duty_set_sha256,target_fleet,known_partition_continuous_physical_upper_bound,known_duty_certificate_set_sha256,trip_count,peak_concurrency_lb,service_kwh_total,service_kwh_per_duty,duty_trip_count_max,duty_trip_count_cv,scheduled_intertrip_gap_median_min,service_span_min,direct_compatibility_density
k05_p5,5,5,probability,5,fixed_seed_probability_5,nested_probability_5,k04_p5,13404,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k05_p05_20260908.csv,9b7788a554cdacca084e0cb218796da5d5e0ae076c61073b667ed288dc157a1e,,"[""13319"",""13322"",""13404"",""13407"",""13410""]",f0c1abbd8c8d9c989bc03c03d97de466ad74280bf71e04ea8462e075c8fb8160,5,True,f225b78eeab6353a762f2ffbb0a9835cf481e047a2a20c25adec70408b78daa7,102,5,2915.45498165,583.09099633,27,0.247245494,7.0,1263,0.049310813434
k05_p6,5,6,probability,6,fixed_seed_probability_6,nested_probability_6,k04_p6,13324t,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k05_p06_20260908.csv,607cba23d981e3ed76448f035f89785b2d253c2f5242559ed65dee6b0dac9236,,"[""13309"",""13320"",""13324t"",""13401"",""13408""]",83f1bdd05f51b4c1dcbe98fd2e529bd38e5110aca1c72f67d5339daa2ac6931b,5,True,23bca47945be9a7f2f7f50e36c3216f8fd780c019ffa9eada3794d5642fa6272,79,5,1939.45298433,387.890596866,22,0.254427231,6.5,875,0.074326517364
k06_p1,6,1,probability,1,fixed_seed_probability_1,nested_probability_1,k05_p1,13312,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k06_p01_20260908.csv,b12d0348ea6379950814e08a3e50ed1382778ed8dc1b79dd2a1c6c472655e873,,"[""13310"",""13312"",""13313"",""13324muw"",""13408"",""13413""]",7ec1c1e66ae85d1530dcca95ae7733a55d37384d12f3a01875b1ab29f30bd6f4,6,True,275846ea096031f88a8f8ff1f5e57c3fe40f145aedf0c8bcdb451096f03a47eb,150,6,3191.14396724,531.857327873,46,0.502261552,3.5,1197,0.068456375839
k06_p2,6,2,probability,2,fixed_seed_probability_2,nested_probability_2,k05_p2,13324t,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k06_p02_20260908.csv,cdddcbe2570a09b40ec2d4c7be9b7054c39d640863ca3aa56a6e57d6929062ff,,"[""13302"",""13307"",""13311"",""13320"",""13324t"",""13406""]",668e8286da8d9bd33e88911e6a49bb01a1964aba465f56372b21b75de1c2f895,6,True,d6d89c2e2c5a0831f257b9f0b704082b792967bca3e6a0aeaaf346899f72d033,127,6,2462.00397351,410.333995585,50,0.612606522,3.0,1257,0.079365079365
k06_p3,6,3,probability,3,fixed_seed_probability_3,nested_probability_3,k05_p3,13321,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k06_p03_20260908.csv,c9c1d04af9634f333ce3d4aaa4b551a3ceb7a8ffc6f07e583849ac8f7078ddc8,,"[""13301"",""13309"",""13316uwt"",""13321"",""13323"",""13324t""]",c8196c5dcc9aaaf510c175019d8476715f9e2da61d7916609f29a671dd814c03,6,True,6021df800a2ea059948924db308a12d985497fca4d48768e6cbda76cd3a9896e,127,6,2227.20898705,371.201497842,36,0.388069969,3.0,1234,0.081864766904
k06_p4,6,4,probability,4,fixed_seed_probability_4,nested_probability_4,k05_p4,13322,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k06_p04_20260908.csv,b05119540f645867614cc709e08f556f9b5880fd4bc8c0bc2eb156a8d93fb086,,"[""13310"",""13311"",""13313"",""13322"",""13406"",""13410""]",a5af6e562e000a327a500e600e89529e32991d50afc6b5e0d5e915d580f6a03b,6,True,70b744b856cd1706c164f1887bfbb524fb9d37628ac81db8bd6db6d06c777133,130,6,2944.17997042,490.696661737,37,0.386763234,4.5,1243,0.070244484198
k06_p5,6,5,probability,5,fixed_seed_probability_5,nested_probability_5,k05_p5,13317,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k06_p05_20260908.csv,b5222957640276a19c072cc4350078bcd7aa699badbdee3c25bb82599fb57a87,,"[""13317"",""13319"",""13322"",""13404"",""13407"",""13410""]",7bd5b786103f8b868115e8c6766c846209feb10bad7a70199c6591643543173c,6,True,2ee01fd827f1c01bbff5c0953726a0ac9c5c5d60e4cc4dbb15ad8e3d5628895f,139,6,3496.00597867,582.667663112,37,0.332884469,7.0,1263,0.050151183401
k06_p6,6,6,probability,6,fixed_seed_probability_6,nested_probability_6,k05_p6,13409,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k06_p06_20260908.csv,ed6c072d8ac6677256518ff9d025af3bd8f13ab7cd290228f3b75c190f089b5b,,"[""13309"",""13320"",""13324t"",""13401"",""13408"",""13409""]",fd79e597e4966906c952b9805efd31f02616300ed61bb8c354d4dfaadf61aa90,6,True,d56f24ab8b37c66b1e33a6db4275fec5edf24d40d5f847cb3db9b8d1e8710acd,96,6,2655.79298033,442.632163388,22,0.231052844,7.0,1259,0.060526315789
k07_p1,7,1,probability,1,fixed_seed_probability_1,nested_probability_1,k06_p1,13319,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k07_p01_20260908.csv,c1ddecd62cc584d309a486886062f26c4dc8adc2221fc621a47d9c30713304d6,,"[""13310"",""13312"",""13313"",""13319"",""13324muw"",""13408"",""13413""]",8bb2c4f9fc0be470dea579711482e67301a8cff24dda0bf19fcc15b7488dbe60,7,True,af33f874c0da415bf798176b7142c991e6244b2ce973a682d92a9887c7de72b3,177,7,3651.79596359,521.685137656,46,0.460581937,3.0,1215,0.065613764766
k07_p2,7,2,probability,2,fixed_seed_probability_2,nested_probability_2,k06_p2,13310,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k07_p02_20260908.csv,39883173bc0943e85b6e7d73f08371b7e25016ea88c7193b0ae600ac676b9c23,,"[""13302"",""13307"",""13310"",""13311"",""13320"",""13324t"",""13406""]",cb846b92dc915cfffa7ea6619bcd582fe8e8327a70903b7e94bb7388ece2b3cf,7,True,a064a6b48a4c7ecd4806f3e8bdfe99c713d3f0d0c1275323e4af3d9296e198be,151,7,2868.71196897,409.815995567,50,0.558416,3.0,1257,0.080706401766
k07_p3,7,3,probability,3,fixed_seed_probability_3,nested_probability_3,k06_p3,13307,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k07_p03_20260908.csv,8be6ae9d4da284471fdc9e561fb32881432e377eff30c171bafeb8b40d4c7a0c,,"[""13301"",""13307"",""13309"",""13316uwt"",""13321"",""13323"",""13324t""]",b474e212952e715c15a0fb25950672d15f51e065d38a128f2b62b0ed20a555c0,7,True,2f49cbf571ef7eaee6446155a606071bd10b0c0091ba3473f18a60c96801def2,142,7,2478.54198437,354.077426339,36,0.389685502,3.0,1234,0.084606932374
k07_p4,7,4,probability,4,fixed_seed_probability_4,nested_probability_4,k06_p4,13414,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k07_p04_20260908.csv,ba56669827df939f1d3a69f3fa04411359d154d7526ce675039e9be49136f2cb,,"[""13310"",""13311"",""13313"",""13322"",""13406"",""13410"",""13414""]",1d1baf61f545672c63ef6f21edcf3fa4783f86e7bc00c08d23cad6ff59f715f3,7,True,ce81216eb2f009d4645ed1acf9b5c0eb273d446dc86d0ad761a7a79865782a1e,142,7,3449.55996742,492.79428106,37,0.417220091,6.0,1243,0.063530116871
k07_p5,7,5,probability,5,fixed_seed_probability_5,nested_probability_5,k06_p5,13402,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k07_p05_20260908.csv,971309eb69629fed37c63f5215d8be7ffa670e568b041161340477dcb40c86ab,,"[""13317"",""13319"",""13322"",""13402"",""13404"",""13407"",""13410""]",cf3f6f72de5e3db52a2a9be73d6a107b0dc7dd993e9f263e2ba3d5def67077d5,7,True,8f19a2c3a5f66c45cc76c01d49322dc7a49e3df45b5bc0e2ee03227397ce0ea5,156,7,4212.34597467,601.763710667,37,0.334686602,7.0,1283,0.046567411084
k07_p6,7,6,probability,6,fixed_seed_probability_6,nested_probability_6,k06_p6,13407,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k07_p06_20260908.csv,d97c05d0e04a15a5b3c7a24ac0801e7dd8240d5ed382bf64eef673362b481e0f,,"[""13309"",""13320"",""13324t"",""13401"",""13407"",""13408"",""13409""]",93d7c0f860047772643c4ec4af3fd79b04879b37eab352b81fc58a5c956b4d24,7,True,6e0482253436c308d49633ba686a867c3ce843188eeea83aedd10a5db4f599c4,113,7,3371.36297583,481.623282261,22,0.213125568,7.0,1259,0.051517067004
k08_p1,8,1,probability,1,fixed_seed_probability_1,nested_probability_1,k07_p1,13409,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k08_p01_20260908.csv,cca5b6ca0c9af9eeb20adb414e300a130471e9e802ef6543a85b9d3ba2860f9d,,"[""13310"",""13312"",""13313"",""13319"",""13324muw"",""13408"",""13409"",""13413""]",061c22f2358a5a2b4ce9324e7464f0e1a7f5b950f0f8faa94aa57b34015a1db2,8,True,6cc8752bd51c846226d802e86c1f9d9168776f101cdfadd9c3e07cbab14b28c0,194,8,4368.13595959,546.016994949,46,0.463229731,4.0,1215,0.057315314353
k08_p2,8,2,probability,2,fixed_seed_probability_2,nested_probability_2,k07_p2,13321,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k08_p02_20260908.csv,c1dbe1dd15d20979799c68d01430a5fd0eddc2ca3ced3f46bd8522123e6c480d,,"[""13302"",""13307"",""13310"",""13311"",""13320"",""13321"",""13324t"",""13406""]",e42440494b6b0e6877c94363e8e8f96c6187b4cf322c193df6c84b2a4f067f3a,8,True,7f08d436b9faf8086a92ea3751bccc00e9d769e3d24ec433e9c49a783cb8925b,173,8,3276.24496737,409.530620921,50,0.521097545,3.0,1257,0.074337948649
k08_p3,8,3,probability,3,fixed_seed_probability_3,nested_probability_3,k07_p3,13414,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k08_p03_20260908.csv,9d1d4ed1ab86dfa3ae09541180d1a67e612d5473d9964db36b08e9ebce72cd2b,,"[""13301"",""13307"",""13309"",""13316uwt"",""13321"",""13323"",""13324t"",""13414""]",035ee8b30a542619a0f6dc0d0ef1e033be12d1e2b5de3afcea3231b529143eb2,8,True,242cb86e6df3ecd1ddee51b8c768749433639defbd217fc7f5e8843910b91034,154,8,2983.92198137,372.990247671,36,0.40965741,4.0,1234,0.072829131653
k08_p4,8,4,probability,4,fixed_seed_probability_4,nested_probability_4,k07_p4,13312,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k08_p04_20260908.csv,b0c454201f81795f6283f17128487a10d54062056e6283b333d70a10f46dd353,,"[""13310"",""13311"",""13312"",""13313"",""13322"",""13406"",""13410"",""13414""]",8fa403fbf66b9e7b89a0a6c878640a8f662a917c6302bdd534c1f194ff16a159,8,True,6715d0cd1c07c4aee06b149b4ca35238053f1029e5769add24f3dec57692f726,188,8,4168.18096008,521.02262001,46,0.494423406,4.0,1243,0.063090226419
k08_p5,8,5,probability,5,fixed_seed_probability_5,nested_probability_5,k07_p5,13408,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k08_p05_20260908.csv,85aa4a37119b2604a41aa83f46c8b8987bb95c8165c4adfb0a58ce65dbeee05b,,"[""13317"",""13319"",""13322"",""13402"",""13404"",""13407"",""13408"",""13410""]",889f87a58bc611a801368ea6a7c4eaf7224e9f73c2355f8a57f251c4e1f645f8,8,True,78e7fdc95cdf43e9dffdcab12a352cd12cf1e402942532f56256ff3d1a14c4e1,167,8,4675.99597217,584.499496521,37,0.379047119,7.0,1283,0.044369093139
k08_p6,8,6,probability,6,fixed_seed_probability_6,nested_probability_6,k07_p6,13307,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k08_p06_20260908.csv,749b356e355c6b7f08f45aa04764f193281215214e084460027fbe63176e400b,,"[""13307"",""13309"",""13320"",""13324t"",""13401"",""13407"",""13408"",""13409""]",a8ea3707b4b97470a8c4efee51cf66e34ceefe1c651ce91fc076ee0a09a4ab3b,8,True,cc6d4bbe225402d6fad5c308ab217165aa355728d06ac8880c76a52953fa854c,128,8,3622.69597315,452.836996644,22,0.202523147,7.0,1259,0.053518700787
k09_p1,9,1,probability,1,fixed_seed_probability_1,nested_probability_1,k08_p1,13404,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k09_p01_20260908.csv,9bf82e7707f52cad1513b770af6883663ffd77fd16a37119a72b12c81ec38569,9bf82e7707f52cad1513b770af6883663ffd77fd16a37119a72b12c81ec38569,"[""13310"",""13312"",""13313"",""13319"",""13324muw"",""13404"",""13408"",""13409"",""13413""]",d72091d5a2de641cb88c043e0fb1c6ba363aed7fd8229478170c95ceb5b772e1,9,True,d470825935d3c0f34d324dd29c6ac47b5a73ebafc7784060b517f9d17c0f6bf6,211,9,5084.47595559,564.941772843,46,0.462079232,6.0,1254,0.051771609118
k09_p2,9,2,probability,2,fixed_seed_probability_2,nested_probability_2,k08_p2,13312,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k09_p02_20260908.csv,13571e9cfa59d55b54246e92dba53c023e6550dd2938fc04239a9952f6a54177,13571e9cfa59d55b54246e92dba53c023e6550dd2938fc04239a9952f6a54177,"[""13302"",""13307"",""13310"",""13311"",""13312"",""13320"",""13321"",""13324t"",""13406""]",3748e7480f9d01e0e8a2ab6872c3090ddc97ce95fba94dd5d57629904e9e1de2,9,True,69063f8de67ee66dbcb3b602668c0b0b96c2ce62f8f9fff0c6e3233afdece06d,219,9,3994.86596003,443.873995559,50,0.538270759,3.0,1257,0.073897197436
