job,name,state,elapsed,MaxRSS,ReqMem,exit,node,start_local,end_local,cpus
661616_20,drX_graphs,RUNNING,13:08:58,,96G,0:0,jingjie-cpu-01,2026-09-21T14:48:46,Unknown,2
661616_21,drX_graphs,COMPLETED,11:22:13,,96G,0:0,petro-cpu-01,2026-09-21T14:48:46,2026-09-22T02:10:59,2
661616_22,drX_graphs,COMPLETED,12:23:31,,96G,0:0,luxlab-cpu-01,2026-09-21T14:49:46,2026-09-22T03:13:17,2
661616_23,drX_graphs,COMPLETED,09:50:39,,96G,0:0,scaglione-cpu-03,2026-09-21T14:49:46,2026-09-22T00:40:25,2
661616_24,drX_graphs,COMPLETED,10:40:17,,96G,0:0,mzhang-cpu-01,2026-09-21T14:49:46,2026-09-22T01:30:03,2
661616_25,drX_graphs,COMPLETED,11:19:49,,96G,0:0,mzhang-cpu-01,2026-09-21T14:49:46,2026-09-22T02:09:35,2
661616_26,drX_graphs,PREEMPTED,00:01:04,,96G,0:0,lisbeth,2026-09-21T14:49:46,2026-09-21T14:50:50,2
661616_27,drX_graphs,PREEMPTED,00:01:36,,96G,0:0,lisbeth,2026-09-21T14:49:46,2026-09-21T14:51:22,2
661616_28,drX_graphs,RUNNING,13:07:58,,96G,0:0,unicorn-compute-05,2026-09-21T14:49:46,Unknown,2
661616_29,drX_graphs,PREEMPTED,06:49:51,,96G,0:0,sablab-gpu-02,2026-09-21T14:49:46,2026-09-21T21:39:37,2
661616_30,drX_graphs,RUNNING,13:07:58,,96G,0:0,coecis-compute-02,2026-09-21T14:49:46,Unknown,2
661616_31,drX_graphs,COMPLETED,12:43:16,,96G,0:0,lil-compute-01,2026-09-21T14:49:46,2026-09-22T03:33:02,2
661616_32,drX_graphs,RUNNING,13:07:58,,96G,0:0,dgx2-compute-04,2026-09-21T14:49:46,Unknown,2
661616_33,drX_graphs,PREEMPTED,06:47:40,,96G,0:0,dgx2-compute-02,2026-09-21T14:49:46,2026-09-21T21:37:26,2
661616_34,drX_graphs,PREEMPTED,06:47:40,,96G,0:0,dgx2-compute-02,2026-09-21T14:49:46,2026-09-21T21:37:26,2
661616_35,drX_graphs,PREEMPTED,06:48:12,,96G,0:0,dgx2-compute-02,2026-09-21T14:49:46,2026-09-21T21:37:58,2
661616_36,drX_graphs,RUNNING,13:07:58,,96G,0:0,dgx2-compute-02,2026-09-21T14:49:46,Unknown,2
661616_37,drX_graphs,PREEMPTED,00:57:57,,96G,0:0,kuleshov-compute-01,2026-09-21T14:49:46,2026-09-21T15:47:43,2
661616_38,drX_graphs,COMPLETED,07:52:45,,96G,0:0,shmatikov-compute-02,2026-09-21T14:49:46,2026-09-21T22:42:31,2
661616_39,drX_graphs,COMPLETED,08:39:27,,96G,0:0,rocky,2026-09-21T14:49:46,2026-09-21T23:29:13,2
661616_40,drX_graphs,COMPLETED,08:50:30,,96G,0:0,rocky,2026-09-21T14:49:46,2026-09-21T23:40:16,2
661616_41,drX_graphs,PREEMPTED,00:10:21,,96G,0:0,davis-compute-02,2026-09-21T14:49:46,2026-09-21T15:00:07,2
661616_42,drX_graphs,RUNNING,13:07:58,,96G,0:0,ellis-compute-02,2026-09-21T14:49:46,Unknown,2
661616_43,drX_graphs,RUNNING,13:07:58,,96G,0:0,portal-compute-01,2026-09-21T14:49:46,Unknown,2
661616_6,drX_graphs,RUNNING,13:07:58,,96G,0:0,portal-compute-01,2026-09-21T14:49:46,Unknown,2
661616_26,drX_graphs,RUNNING,13:02:57,,96G,0:0,jingjie-cpu-22,2026-09-21T14:54:47,Unknown,2
661616_27,drX_graphs,RUNNING,13:02:57,,96G,0:0,jingjie-cpu-07,2026-09-21T14:54:47,Unknown,2
661616_14,drX_graphs,RUNNING,12:58:57,,96G,0:0,kim-cpu-05,2026-09-21T14:58:47,Unknown,2
661616_41,drX_graphs,RUNNING,12:54:57,,96G,0:0,garg-cpu-02,2026-09-21T15:02:47,Unknown,2
661616_37,drX_graphs,RUNNING,12:06:47,,96G,0:0,kim-cpu-01,2026-09-21T15:50:57,Unknown,2
661616_33,drX_graphs,RUNNING,06:14:18,,96G,0:0,unicorn-cpu-75,2026-09-21T21:43:26,Unknown,2
661616_34,drX_graphs,RUNNING,06:14:18,,96G,0:0,sonic-cpu-02,2026-09-21T21:43:26,Unknown,2
661616_35,drX_graphs,RUNNING,06:14:18,,96G,0:0,unicorn-cpu-87,2026-09-21T21:43:26,Unknown,2
661616_29,drX_graphs,RUNNING,06:14:18,,96G,0:0,unicorn-cpu-76,2026-09-21T21:43:26,Unknown,2
