scale,candidate_rank,duties_json,duty_set_sha256,candidate_seed,selected_family,selected_role,trip_count,peak_concurrency_lb,service_kwh_total,service_kwh_per_duty,duty_trip_count_max,duty_trip_count_cv,scheduled_intertrip_gap_median_min,service_span_min
2,11,"[""13307"",""13406""]",4af925d6e1de7231ad613ba79d9ff7f069503fbffb5756951b090092c977410a,2026090302,,,29,2,840.94299382,420.47149691,15,0.034482759,7.0,1113
2,12,"[""13325"",""13403""]",ccf3efcb81ec88c9f880ef688ba84749037719a4ad97d9e368ba6299167e2c55,2026090302,,,56,2,1255.59099,627.795495,42,0.5,3.0,1255
2,13,"[""13309"",""13317""]",e39782ab2b102e785cc65776e6ba99df7760dfe60b487e937a42d7170e13d21c,2026090302,,,59,2,968.99299392,484.49649696,37,0.254237288,3.0,1125
2,14,"[""13301"",""13410""]",2ab29611e3b20d22e6d0a461c4fd53c011e9e86aee5a44137f9a58e7a29a6682,2026090302,,,51,2,1229.27499386,614.63749693,36,0.411764706,7.0,1268
2,15,"[""13319"",""13412""]",13e69da8e2eda7a72dcd355d09f07899f976538f66f86f6af5f0456fe0dffbe3,2026090302,,,42,2,1091.99199235,545.995996175,27,0.285714286,7.0,1156
2,16,"[""13306"",""13312""]",986d5c0c444badd5f1a2d439607559b8ced66f8b8e7957438be994d5fd095412,2026090302,,,76,2,1190.05898864,595.02949432,46,0.210526316,2.0,1211
2,17,"[""13311"",""13414""]",34528c67499dc779eb8420342d74ed09f341911deb0ffd4ebde7bd8a0b30c0a5,2026090302,,,26,2,771.3279931,385.66399655,14,0.076923077,7.5,963
2,18,"[""13302"",""13320""]",7c888e52f6c3f330a7ac8dcf8d05a6080f803b48b65cafaa767ed5c2c98a637a,2026090302,,,66,2,1039.04298726,519.52149363,50,0.515151515,2.0,1257
2,19,"[""13401"",""13403""]",e26de1007a19dfe94768e0348f42acf7af007778b63b39834b7ac350a0fac7d4,2026090302,,,26,2,1094.9899935,547.49499675,14,0.076923077,7.5,1027
2,20,"[""13310"",""13326""]",abf91ef0edf705f9d489b39cf5e30ad2efb80bbcdeddde2b563fd2c472133d00,2026090302,,,45,2,756.01399409,378.006997045,24,0.066666667,3.0,735
2,21,"[""13311"",""13410""]",b2093e3f25eaf81d28c93e5c77d3b5c25e99a68e056f0386f8162414cc566349,2026090302,,,29,2,897.2879921,448.64399605,15,0.034482759,7.0,1226
2,22,"[""13302"",""13304""]",13443139855f4210c0b6cf91f9847649cc464535a0a03f0ab4bb9ffefea6fd1d,2026090302,,,87,2,1319.13498728,659.56749364,50,0.149425287,1.0,1257
2,23,"[""13304"",""13311""]",a476e6247adb0b4427eb85a58ac7185e783106e5a671b515375e09f473ee1357,2026090302,,,51,2,811.95099272,405.97549636,37,0.450980392,1.0,1243
2,24,"[""13317"",""13321""]",5ab42ad356310a9d2572b0c3d56c2acfd7f8d5626bf7035565ea6c8166363ccd,2026090302,,,59,2,988.08399542,494.04199771,37,0.254237288,3.0,1149
2,25,"[""13314"",""13411""]",891dc1b552d2852e2a83a8ffa147a482de0083c3b7a77d2c4c41a7243de51b9d,2026090302,,,30,2,867.58499596,433.79249798,16,0.066666667,7.0,930
2,26,"[""13306"",""13308""]",9e2b65347db183131915031b14cfe92f80867c5f6230b32f9f3092bb5a58604d,2026090302,,,61,2,998.40699238,499.20349619,31,0.016393443,3.0,1078
2,27,"[""13402"",""13405""]",e276f0f8ffed2abebb3c839146bb36c9bd38762a68ba30fedfaf065cf536c31d,2026090302,,,30,2,1263.4499925,631.72499625,17,0.133333333,7.0,1137
2,28,"[""13313"",""13314""]",e438c48599d9efd47ad68f51f9bf3c5492ff8abc890c5ee412fc9da17257ecb5,2026090302,,,53,2,936.99598802,468.49799401,37,0.396226415,3.0,1107
2,29,"[""13304"",""13405""]",dfdffd0dfc76e897c44df44d3a777f503082b306bfeafd5ca14d362c28cb1c54,2026090302,,,50,2,1093.11299312,546.55649656,37,0.48,4.0,1243
2,30,"[""13321"",""13405""]",977cb0351fe881d81780536ebb49c13adff793a376b12362898eb1ff21dfca26,2026090302,,,35,2,954.6429949,477.32149745,22,0.257142857,7.0,1212
2,31,"[""13302"",""13413""]",8cc4de63b000227b2791c2adb83a2772215103a24b78e962b048ea8e5863b117,2026090302,,,65,2,1405.24198716,702.62099358,50,0.538461538,3.0,1257
2,32,"[""13323"",""13414""]",dcbbb352840ae60d1e132b8b0d82589f0c835f2b103c212ee8c7dfde38aba980,2026090302,,,20,2,662.8709964,331.4354982,12,0.2,7.0,879
2,33,"[""13322"",""13323""]",a40b52f62e85ded9ff0b8b57d3fc06fb1ac2f585223f0ab4e811fbe0a6003ed4,2026090302,,,34,2,549.0439972,274.5219986,26,0.529411765,3.0,627
2,34,"[""13318"",""13324t""]",e83a6b9a0492908b257dfe71666fa058fd103681cfda1827e6d1568f188cce4b,2026090302,,,51,2,851.55099079,425.775495395,33,0.294117647,3.0,1126
2,35,"[""13309"",""13408""]",c39dc5900f55351b4c77451eab60af5a997d426c20826b70f63c755e268e4567,2026090302,,,33,2,852.0919944,426.0459972,22,0.333333333,6.0,791
2,36,"[""13316m"",""13322""]",7a343b841ab6ee15e76e976eebe79fbb2b7bf5c5a0f31923629a96928b1dbdfa,2026090302,,,49,2,761.50699556,380.75349778,26,0.06122449,3.0,760
2,37,"[""13407"",""13413""]",2e8fa3023883adcdb11a8f8b182d06a17160671bcd7c7903834127be643fe2a9,2026090302,,,32,2,1347.679992,673.839996,17,0.0625,8.0,1179
2,38,"[""13408"",""13414""]",6145734016bbc216b3b77a9d494db0f6f84e7408aa6756df8d0311dab95bffe1,2026090302,,,23,2,969.0299945,484.51499725,12,0.043478261,8.0,954
2,39,"[""13301"",""13402""]",a266c970ea18f404a9fa46a05b8391e3037ce3401069aa8c335194490b93b9ab,2026090302,,,53,2,1314.27499386,657.13749693,36,0.358490566,7.0,1176
2,40,"[""13320"",""13324t""]",bcd1d3f0f76507971427d14711c5754bfc0a767747519f53b316987483dd5263,2026090302,,,34,2,581.98099293,290.990496465,18,0.058823529,3.5,735
2,41,"[""13306"",""13307""]",a1448db67bda5ff91898ba29a6a667e2247f8c9d61ed09c91dfeb9925f197173,2026090302,,,45,2,722.7709933,361.38549665,30,0.333333333,2.0,807
2,42,"[""13317"",""13404""]",bf26ff3b3ee84162df98bdd353fac5450b093dbcb567ecb8aba7e01ef78b3c49,2026090302,,,54,2,1296.89099302,648.44549651,37,0.37037037,7.0,1172
2,43,"[""13311"",""13316m""]",c6b684bb5d24e65309206bad0ecf0047919ecd56fb1db7b4b740dbd35aa6befb,2026090302,,,37,2,635.90199386,317.95099693,23,0.243243243,3.0,806
2,44,"[""13312"",""13411""]",ee847a035b70f4d12a7c3ebcc295d8c9ee12e449e652a51855bc59fa76387e04,2026090302,,,60,2,1308.23098916,654.11549458,46,0.533333333,4.0,1192
2,45,"[""13306"",""13407""]",31f213ce8a899bf853cdc8fc385d077651062759f6b0e1acf0d75ae0d52fe085,2026090302,,,47,2,1187.00799148,593.50399574,30,0.276595745,5.0,1208
2,46,"[""13308"",""13413""]",066daca877a319a4dd767d1819d90c772cd90f729bc8a19591637dc7bb09e5a1,2026090302,,,46,2,1159.0789929,579.53949645,31,0.347826087,7.0,1067
2,47,"[""13322"",""13325""]",e26e9a833ecd88c62b008b3795098349a308f60e12acdb1bed48d71a7e05b00c,2026090302,,,68,2,1057.5339913,528.76699565,42,0.235294118,2.0,1112
2,48,"[""13312"",""13316uwt""]",9fd5f65c73d6d56ede1dddccac962ddc38e9f297ca7f2695d83c2efdc1ff2172,2026090302,,,67,2,1078.35899082,539.17949541,46,0.373134328,3.0,1192
2,49,"[""13321"",""13326""]",31547e41cf20408c20d8d1022c5eafa5551da952b3141d657d65cbabfbf3419b,2026090302,,,43,2,756.83899703,378.419498515,22,0.023255814,3.0,1109
2,50,"[""13302"",""13316uwt""]",1307d14e2db1c47cf654dab066a587600580d78c9b015289ba6fbafcca245988,2026090302,,,71,2,1132.86998882,566.43499441,50,0.408450704,1.0,1257
2,51,"[""13314"",""13408""]",4f7567f505a8f633316abc3f116a58aca9cb268f105e0eb868a1ee94e17e5e11,2026090302,,,27,2,741.62499696,370.81249848,16,0.185185185,8.0,766
2,52,"[""13322"",""13411""]",b71301a320cd245ad9227305dd1ceba4184f6d46ced3a60dd4e2c3424633aa21,2026090302,,,40,2,981.1629943,490.58149715,26,0.3,5.5,899
2,53,"[""13313"",""13402""]",6bf24fe9d836ac5577cc8b99f7028107a2a6b295555d261ae65c552fbc8623e8,2026090302,,,54,2,1375.36098456,687.68049228,37,0.37037037,5.5,1182
2,54,"[""13316m"",""13410""]",506c44591d60671ec0299ccc310d2469d2b9a6e2ce2d76477e94a5e4b7bdd4f3,2026090302,,,38,2,1001.29399376,500.64699688,23,0.210526316,7.0,1180
2,55,"[""13305"",""13313""]",5e8ee3e25c7a0016ab05ba92787d3df1e0ae84d9c3b5d8c9b945f24f78683236,2026090302,,,67,2,1096.7839853,548.39199265,37,0.104477612,2.0,1143
2,56,"[""13322"",""13401""]",17179f5939dd574a2ee2b2528adde6c058e4a06aac5e3bd33e66d895ed49a48a,2026090302,,,38,2,896.9329948,448.4664974,26,0.368421053,6.5,874
2,57,"[""13324t"",""13410""]",48ce70e8a3333db3663f820c979379e689310a86803947219368561bf81dcbb5,2026090302,,,33,2,947.40999233,473.704996165,18,0.090909091,7.0,1175
2,58,"[""13319"",""13401""]",c82f810787a9e8df92a1815f72f5fd8c1a7a721e698049128c597f4c299edaf0,2026090302,,,39,2,966.03199335,483.015996675,27,0.384615385,7.0,1277
2,59,"[""13302"",""13308""]",2235c29c41d54c8ed2a4c5b78dd5a61db3f382d1da33a6ddf64fa4dc19c6a234,2026090302,,,81,2,1300.10098706,650.05049353,50,0.234567901,2.0,1257
2,60,"[""13301"",""13319""]",0ccb07d0d3d96a2abef18baec089bc05f0f32ef84b629c7d80a15e1a0c89c1dc,2026090302,,,63,2,1058.58699421,529.293497105,36,0.142857143,3.0,1259
2,61,"[""13407"",""13411""]",36bc628bf771b5b33e43cceba5e97bd3bdbc6f59ca23636b3de89c8b6eec55c2,2026090302,,,31,2,1305.179992,652.589996,17,0.096774194,7.0,1179
2,62,"[""13313"",""13316m""]",7e518e9c9588b8faba596f0c91e68e5d543e016a131379cd692326ac1bc5e0dd,2026090302,,,60,2,1028.97498632,514.48749316,37,0.233333333,3.0,1095
2,63,"[""13306"",""13412""]",c23d93924cf767babba8e6a7e14008d2f71b3086375080e4ac75e244a5193129,2026090302,,,45,2,1102.77799198,551.38899599,30,0.333333333,5.0,1178
2,64,"[""13304"",""13412""]",f58c88b1ef3079b2a4ae08b33f07694cf993b2513cc0bb3b6fcb4c7ecebb8fea,2026090302,,,52,2,1177.34299262,588.67149631,37,0.423076923,6.0,1243
2,65,"[""13402"",""13411""]",daadf7b344aae653bc7de8676d1405a5424895f164395deb344971989b438b52,2026090302,,,31,2,1305.9499925,652.97499625,17,0.096774194,7.0,1137
2,66,"[""13301"",""13303""]",648e17638d5c75847820a7a5d078d06d19847a7808fafb09686acb8233950da4,2026090302,,,90,2,1325.65399356,662.82699678,54,0.2,2.0,1198
2,67,"[""13317"",""13324muw""]",b5d0a90df0a299409023dd6d8e6faa5cd94d62d4d1a4f4a1c5603b921e361d0d,2026090302,,,54,2,891.58499358,445.79249679,37,0.37037037,2.5,1092
2,68,"[""13326"",""13403""]",c80e593c614a3a33e988c43bdcc9601e0ae65d08380e720b17f3616d38392499,2026090302,,,35,2,938.91599513,469.457997565,21,0.2,7.0,1007
2,69,"[""13307"",""13322""]",32871575df68ccdf250f129a9f446c622e1ad4c420db01d940bdafaf96852af5,2026090302,,,41,2,642.88599512,321.44299756,26,0.268292683,1.0,764
2,70,"[""13302"",""13408""]",f8b5826525b69eba7aa771d452a3de4404ac410f8db8f48c3ed3a38a40b11d53,2026090302,,,61,2,1236.78198816,618.39099408,50,0.639344262,2.0,1257
2,71,"[""13301"",""13320""]",06f780482c3c43811f6ffe73fe4da578128e77858edee89f1c5aab0875230fd6,2026090302,,,52,2,863.84599446,431.92299723,36,0.384615385,3.5,1161
2,72,"[""13307"",""13318""]",d0dd4325dbde83d5a3630b3b4ca9829bc330bd1a4b5c5383ed9ec7a12ef4c3fa,2026090302,,,48,2,786.81399178,393.40699589,33,0.375,1.5,1206
2,73,"[""13402"",""13412""]",f1c8cd6bf1dfc7368ca883d4292dcca3721dea7ece88a658505652238ab050aa,2026090302,,,32,2,1347.679992,673.839996,17,0.0625,10.0,1223
2,74,"[""13305"",""13312""]",9bdfbb5ca84f00a0e2331e013c938c3f97867a82aab8bc91d11b27372782ba9d,2026090302,,,76,2,1156.3839894,578.1919947,46,0.210526316,2.0,1217
2,75,"[""13309"",""13414""]",c0edd6228faf67b27f47524d20cf9bb026f1555fbcd881622ca2360717210d08,2026090302,,,34,2,893.8219939,446.91099695,22,0.294117647,6.5,953
2,76,"[""13309"",""13326""]",200600625429a25c135b2c8690ac71f56b6337912702894719a2e1024c04f5f7,2026090302,,,43,2,737.74799553,368.873997765,22,0.023255814,3.0,790
2,77,"[""13305"",""13409""]",ed686f60ab855b715bf1919a06ec31f2ccaabf7d20e11d036aa5db51e964ba80,2026090302,,,47,2,1154.10299274,577.05149637,30,0.276595745,7.0,1217
2,78,"[""13315"",""13413""]",430387410966c2ca3e74bf3fadb4e12b3efd97ce5785bb31ee487c3c5186fe89,2026090302,,,46,2,1058.17999616,529.08999808,31,0.347826087,4.0,1024
2,79,"[""13316uwt"",""13323""]",f41879b28bc59d7f559233053e74b75b2fe9762775a2d73f5f55a8c8ae533d85,2026090302,,,29,2,517.22899756,258.61449878,21,0.448275862,3.0,760
2,80,"[""13309"",""13311""]",17ba0da045ba130abff516d3e3a15dea7d6b515f8b07e8e88feff873299efcc8,2026090302,,,36,2,654.389993,327.1949965,22,0.222222222,3.5,800
2,81,"[""13310"",""13324muw""]",74c8f15968e98ddea4bfaab95602397a9d937f0981acce9e45b0a9c398246f95,2026090302,,,41,2,717.74199202,358.87099601,24,0.170731707,3.0,705
2,82,"[""13305"",""13402""]",9acc60f4fd87d4ec460c6cbeb2bd9d49bd9fb284bc288f5c4dfc4e457edabc55,2026090302,,,47,2,1154.10299274,577.05149637,30,0.276595745,7.0,1137
2,83,"[""13304"",""13411""]",f70b6afb14576f35b2a143385586a35cb4463a3bf379301948988a1ee3c03b05,2026090302,,,51,2,1135.61299312,567.80649656,37,0.450980392,4.0,1243
2,84,"[""13324t"",""13325""]",40ab2933b40d37335380939aef55047928dbd2e63d782baa18940fee4d8cb621,2026090302,,,60,2,982.05098983,491.025494915,42,0.4,2.0,1105
2,85,"[""13305"",""13405""]",83a21582a2231b2dae198136f8481c91a282c1a66267461fb4f16600e160a634,2026090302,,,43,2,984.87299324,492.43649662,30,0.395348837,6.0,832
2,86,"[""13322"",""13407""]",4bddb382019eb1da13c180967d931dec31898e47f4dfe035ec4d964a6cbb9da6,2026090302,,,43,2,1107.1229933,553.56149665,26,0.209302326,6.0,1179
2,87,"[""13408"",""13413""]",541ffd5315474ced4e9f991c3c1e7581bd2325ccf8ba50da8ae07e8d0317282e,2026090302,,,26,2,1095.759994,547.879997,15,0.153846154,8.0,1051
2,88,"[""13302"",""13321""]",af5ee3bfe7b2815f9c9bbda7eabce66774ed7cbc07117ad57e4a78de7a7ff078,2026090302,,,72,2,1180.66498906,590.33249453,50,0.388888889,2.5,1257
2,89,"[""13307"",""13319""]",20b293201ac5ad03b9fe34de5c495b9a310a284e820ece12cd9c28b77478aea4,2026090302,,,42,2,711.98499367,355.992496835,27,0.285714286,1.5,1227
2,90,"[""13313"",""13412""]",d80339c0f728b108d6945b0ca5c2b2156aaa6b8b3866aa77186a849ba5e80531,2026090302,,,52,2,1290.36098456,645.18049228,37,0.423076923,5.0,1136
2,91,"[""13316uwt"",""13402""]",d699971df12461de1aba3a188eb6caaacc4edb9e4381157ee59dbcf22c3be474,2026090302,,,38,2,1076.07799416,538.03899708,21,0.105263158,7.0,1137
2,92,"[""13301"",""13310""]",8ae20aadfb0f95ca6b678490aaf61704745a73e0b45ba74b7039a82deea1f6e2,2026090302,,,60,2,1004.64299332,502.32149666,36,0.2,3.0,1161
2,93,"[""13303"",""13411""]",e52d95afb57e15b98bd595040cd968ab8c4219985ef9b6547907d9cdd422481b,2026090302,,,68,2,1317.3289922,658.6644961,54,0.588235294,3.0,1198
2,94,"[""13315"",""13322""]",7c990bd39818530a11fcbc44b377b81e3340c57bd76e4cac22859f6d830c39b5,2026090302,,,57,2,817.62299746,408.81149873,31,0.087719298,2.0,704
2,95,"[""13304"",""13306""]",62095c39e93b22bad0cc1188193c7af3f0f380c4322ec620b2dd5df11bf8089e,2026090302,,,67,2,1017.4409926,508.7204963,37,0.104477612,2.0,1243
2,96,"[""13321"",""13404""]",ada278e396dc36dd71025b82452fb29884a3359c0683b9dc94b782be496853ce,2026090302,,,39,2,1123.8729944,561.9364972,22,0.128205128,7.0,1229
2,97,"[""13304"",""13325""]",f454179f685e4fe713cefa2bbf83c1f4487f532da16a22afcf413e67501c485e,2026090302,,,79,2,1211.98399012,605.99199506,42,0.063291139,1.0,1243
2,98,"[""13412"",""13414""]",ae2d62853f160a1837793abdcc09386dbcc585ae58efa54c3e51b9aa59149e7e,2026090302,,,27,2,1136.719993,568.3599965,15,0.111111111,11.0,1105
2,99,"[""13301"",""13326""]",ad6f9d889a9a4e11e5ea7fcccfa5d638fae0f3e96355313169586eb8bb1e85e5,2026090302,,,57,2,947.24099649,473.620498245,36,0.263157895,3.0,1161
2,100,"[""13325"",""13412""]",1d9ffdd8aeca0eb47e383a39306d8b42fe9f8f06552e69677e5c87295adf8a9b,2026090302,,,57,2,1297.3209895,648.66049475,42,0.473684211,3.0,1154
2,101,"[""13315"",""13405""]",f5a39a13c129154ef5ce5a7cb32e213c9e4b726bb90b693d337b449d376d1f1e,2026090302,,,44,2,973.17999616,486.58999808,31,0.409090909,3.5,832
2,102,"[""13306"",""13404""]",03b86f3330d24e12a5c5de5d350a3ce5454ca57777f666a03b5a4d21e34371ce,2026090302,,,47,2,1187.77799198,593.88899599,30,0.276595745,6.0,1156
2,103,"[""13310"",""13403""]",3e2d65f1925a3f00caac7a704ad901b5c9bb4a92948de598c6ee813fb0c8cbc0,2026090302,,,38,2,996.31799196,498.15899598,24,0.263157895,7.0,1007
2,104,"[""13311"",""13404""]",951b1b08ac967032432387e982aaff20b74f5d7a052f1e93ba8f8035290ba082,2026090302,,,31,2,982.2879921,491.14399605,17,0.096774194,8.0,1156
2,105,"[""13401"",""13411""]",8e2750713ea3a642fd6c962c851d1eac0eded527f16e7eb69fa816e952c1f202,2026090302,,,26,2,1094.9899935,547.49499675,14,0.076923077,7.0,1008
2,106,"[""13301"",""13322""]",6c588cf75273c13adf8dd7787d6c8ba0d36dc0f1399cc7da2b43156a211c6c08,2026090302,,,62,2,989.48799566,494.74399783,36,0.161290323,3.0,1161
2,107,"[""13317"",""13402""]",a2833346b79f2a7938e9e9f37324dc0732c9618a68bfa644061aac3e9293a843,2026090302,,,54,2,1296.89099302,648.44549651,37,0.37037037,7.0,1192
2,108,"[""13310"",""13411""]",343b7dce072f73eb8d9bbc19c9f85ed88291b85a56ad78042ab3e59cda807cf7,2026090302,,,38,2,996.31799196,498.15899598,24,0.263157895,5.0,946
2,109,"[""13303"",""13324muw""]",8806829440153414d7eb718cdfd526a30b1e509c72a78214463d214030b8189e,2026090302,,,71,2,1038.75299226,519.37649613,54,0.521126761,2.0,1198
2,110,"[""13308"",""13403""]",9f78ee2a4cbcb97c0800bd8616a88fccdd351e33f1699090349d667ccd8bb9b4,2026090302,,,45,2,1116.5789929,558.28949645,31,0.377777778,7.0,1106
2,111,"[""13324muw"",""13325""]",070c6d9cc92d9236b679ded2a86e3e2ebbcf77ffe897424cc1fb62da97f87847,2026090302,,,59,2,977.01499006,488.50749503,42,0.423728814,2.0,1105
2,112,"[""13316uwt"",""13414""]",fd41c4234da8cc007b127e2c4662b9de22f73f00450bc515e7efc6d37524c2ac,2026090302,,,33,2,865.11799516,432.55899758,21,0.272727273,7.0,917
2,113,"[""13307"",""13324muw""]",3e3ad9d94d7ecf8520ed180ed18b5882b7a3f802620c676c9c3031b743f8ec4a,2026090302,,,32,2,562.36699388,281.18349694,17,0.0625,2.0,764
2,114,"[""13302"",""13319""]",cd2f7357cff15a4a779df482e2358d36e977582b3ca48f91d7df3b171c72a837,2026090302,,,77,2,1233.78398701,616.891993505,50,0.298701299,1.0,1257
2,115,"[""13313"",""13320""]",869fdcf883cacc5c5a4e519d5880e96b22a786750eed75a9bef96b06c5647532,2026090302,,,53,2,924.93198516,462.46599258,37,0.396226415,3.0,1095
2,116,"[""13401"",""13413""]",c54ebe18dc643b30a48144979782282f47b0671e3540d9990a6bdcbb59877df4,2026090302,,,27,2,1137.4899935,568.74499675,15,0.111111111,8.0,1120
2,117,"[""13321"",""13408""]",ae7faab365466d675db6636d0cca3365f66f027cd60e4e3f9c8a0e89476ad749,2026090302,,,33,2,871.1829959,435.59149795,22,0.333333333,7.0,1183
2,118,"[""13326"",""13412""]",0746c1aae38c9f2435e753f8e152644ccb4738afaed6038f98ce0ce4d4b5371d,2026090302,,,36,2,980.64599463,490.322997315,21,0.166666667,7.0,1105
2,119,"[""13326"",""13414""]",b7872998f57231b1727b3023a248ddd8ba18a0765bfb56cb3c84d7aef0a649b8,2026090302,,,33,2,854.68599563,427.342997815,21,0.272727273,7.0,879
2,120,"[""13304"",""13408""]",3ce2aed23d1b55160ecd25f31b8628ff2a8305f08ab6e590291c5397382f5535,2026090302,,,48,2,1009.65299412,504.82649706,37,0.541666667,3.0,1243
2,121,"[""13316uwt"",""13317""]",867c1809e921afaf42268dcf10d225eb2e81f6a737c6894ae7a8e41259eef9db,2026090302,,,58,2,940.28899518,470.14449759,37,0.275862069,3.0,1092
2,122,"[""13305"",""13319""]",b701c7fcc46d3dbfb80f5bb87cfa9e460180d33711910fc185463b80313d67c1,2026090302,,,57,2,898.41499309,449.207496545,30,0.052631579,2.0,1235
2,123,"[""13315"",""13411""]",20e63cc612d0ad6f8fcf285a140c2a0b3262ddc1960af530cb6271432204bcfc,2026090302,,,45,2,1015.67999616,507.83999808,31,0.377777778,4.0,912
2,124,"[""13325"",""13402""]",d63e3937c87b20cfe16b3fa841cbe557eabdbd1538ce4edee126cbbd4db5eba1,2026090302,,,59,2,1382.3209895,691.16049475,42,0.423728814,4.0,1272
2,125,"[""13320"",""13404""]",1110fc3bc6fcd7fda9289e048d670470eefc6332259c3913fca66f810e27687c,2026090302,,,33,2,982.2509926,491.1254963,17,0.03030303,8.0,1156
2,126,"[""13308"",""13319""]",9a67616ecadbad301f03ea07453aeec6c6ecf8a2b14f9d16586e195e4cc48c1d,2026090302,,,58,2,987.62099275,493.810496375,31,0.068965517,3.0,1218
2,127,"[""13401"",""13404""]",8deaa5a14c1f0fb2f6f977e72a1821588791a4f9c83c9c8ef675ef162e6ffee8,2026090302,,,29,2,1221.719993,610.8599965,17,0.172413793,9.0,1179
2,128,"[""13314"",""13405""]",c3db88d00a0661b9aa95efc7e1b5ce080f3c99213dda2068d1c449381056860d,2026090302,,,29,2,825.08499596,412.54249798,16,0.103448276,7.0,832
2,129,"[""13311"",""13412""]",2de3796fc34d508a1d81b16939421bc0df7b83af66675af0fc5807f80a4d7e4e,2026090302,,,29,2,897.2879921,448.64399605,15,0.034482759,10.0,1166
2,130,"[""13312"",""13414""]",456fe63c06e43e60b78ae4b83b2a6585d500d7fb818ee8c885acfed211337f30,2026090302,,,58,2,1224.00098966,612.00049483,46,0.586206897,4.0,1192
2,131,"[""13303"",""13413""]",0e4dec44ad23eea342a70818a8d658298ce3023f68ba64bb071972d2b79e7b33,2026090302,,,69,2,1359.8289922,679.9144961,54,0.565217391,3.0,1198
2,132,"[""13318"",""13405""]",653446c5eaa535cb326ad421dee4de179c6422ace2b5af7a08152cbf58d6fdbf,2026090302,,,46,2,1082.59099096,541.29549548,33,0.434782609,5.5,1216
2,133,"[""13308"",""13402""]",89077b4c7ddb776fcf1b95b628283a5e2b8be7f328a0c09f3ed1c02023086692,2026090302,,,48,2,1243.3089924,621.6544962,31,0.291666667,7.0,1137
2,134,"[""13307"",""13323""]",36d8a16bdf04f051e66b4e53531d2eeed75dd24014cd7b23ac8a74cc85e08c24,2026090302,,,23,2,408.82399672,204.41199836,15,0.304347826,2.0,764
2,135,"[""13311"",""13324muw""]",ff5b0bd4a0a8e9f52fb49c13a70f7bf2ac7b2db705a97efa28985e2022633c6d,2026090302,,,31,2,576.98199266,288.49099633,17,0.096774194,3.0,794
2,136,"[""13315"",""13410""]",71b9698e411d01c9ac44bd6e50c341d0e5abc21025e995e877f46501d77fc328,2026090302,,,46,2,1057.40999566,528.70499783,31,0.347826087,4.0,1190
2,137,"[""13307"",""13408""]",957a2a58980c7172cc0699f366387c116b73f0462b52440bed357cfc342d825f,2026090302,,,26,2,714.98299482,357.49149741,15,0.153846154,7.0,785
2,138,"[""13404"",""13405""]",255d9fa5c61138b7916e6b4075502326d2c4b8d65f8e29e61d78619bdb92175a,2026090302,,,30,2,1263.4499925,631.72499625,17,0.133333333,7.0,1156
