chain_id,family_replicate,addition_rank,duty_id,chain_seed,accepted_draw_attempt,cohort
nested_probability_5,5,3,13322,20260904005,2,replayed_original
nested_probability_5,5,4,13319,20260904005,2,replayed_original
nested_probability_5,5,5,13404,20260904005,2,replayed_original
nested_probability_5,5,6,13317,20260904005,2,replayed_original
nested_probability_5,5,7,13402,20260904005,2,replayed_original
nested_probability_5,5,8,13408,20260904005,2,replayed_original
nested_probability_5,5,9,13320,20260904005,2,replayed_original
nested_probability_5,5,10,13316uwt,20260904005,2,replayed_original
nested_probability_5,5,11,13312,20260904005,2,replayed_original
nested_probability_5,5,12,13413,20260904005,2,replayed_original
nested_probability_5,5,13,13411,20260904005,2,replayed_original
nested_probability_5,5,14,13314,20260904005,2,replayed_original
nested_probability_5,5,15,13305,20260904005,2,replayed_original
nested_probability_6,6,1,13401,20260904006,1,replayed_original
nested_probability_6,6,2,13320,20260904006,1,replayed_original
nested_probability_6,6,3,13408,20260904006,1,replayed_original
nested_probability_6,6,4,13309,20260904006,1,replayed_original
nested_probability_6,6,5,13324t,20260904006,1,replayed_original
nested_probability_6,6,6,13409,20260904006,1,replayed_original
nested_probability_6,6,7,13407,20260904006,1,replayed_original
nested_probability_6,6,8,13307,20260904006,1,replayed_original
nested_probability_6,6,9,13302,20260904006,1,replayed_original
nested_probability_6,6,10,13311,20260904006,1,replayed_original
nested_probability_6,6,11,13310,20260904006,1,replayed_original
nested_probability_6,6,12,13303,20260904006,1,replayed_original
nested_probability_6,6,13,13312,20260904006,1,replayed_original
nested_probability_6,6,14,13308,20260904006,1,replayed_original
nested_probability_6,6,15,13322,20260904006,1,replayed_original
nested_probability_7,7,1,13401,20260904007,1,new_replication
nested_probability_7,7,2,13412,20260904007,1,new_replication
nested_probability_7,7,3,13310,20260904007,1,new_replication
nested_probability_7,7,4,13304,20260904007,1,new_replication
nested_probability_7,7,5,13303,20260904007,1,new_replication
nested_probability_7,7,6,13321,20260904007,1,new_replication
nested_probability_7,7,7,13408,20260904007,1,new_replication
nested_probability_7,7,8,13309,20260904007,1,new_replication
nested_probability_7,7,9,13413,20260904007,1,new_replication
nested_probability_7,7,10,13305,20260904007,1,new_replication
nested_probability_7,7,11,13402,20260904007,1,new_replication
nested_probability_7,7,12,13322,20260904007,1,new_replication
nested_probability_7,7,13,13316uwt,20260904007,1,new_replication
nested_probability_7,7,14,13403,20260904007,1,new_replication
nested_probability_7,7,15,13301,20260904007,1,new_replication
nested_probability_8,8,1,13319,20260904008,1,new_replication
nested_probability_8,8,2,13306,20260904008,1,new_replication
nested_probability_8,8,3,13305,20260904008,1,new_replication
nested_probability_8,8,4,13405,20260904008,1,new_replication
nested_probability_8,8,5,13313,20260904008,1,new_replication
nested_probability_8,8,6,13315,20260904008,1,new_replication
nested_probability_8,8,7,13322,20260904008,1,new_replication
nested_probability_8,8,8,13408,20260904008,1,new_replication
nested_probability_8,8,9,13318,20260904008,1,new_replication
nested_probability_8,8,10,13411,20260904008,1,new_replication
nested_probability_8,8,11,13412,20260904008,1,new_replication
nested_probability_8,8,12,13404,20260904008,1,new_replication
nested_probability_8,8,13,13401,20260904008,1,new_replication
nested_probability_8,8,14,13307,20260904008,1,new_replication
nested_probability_8,8,15,13314,20260904008,1,new_replication
nested_probability_9,9,1,13312,20260904009,1,new_replication
nested_probability_9,9,2,13322,20260904009,1,new_replication
nested_probability_9,9,3,13310,20260904009,1,new_replication
nested_probability_9,9,4,13409,20260904009,1,new_replication
nested_probability_9,9,5,13313,20260904009,1,new_replication
nested_probability_9,9,6,13318,20260904009,1,new_replication
nested_probability_9,9,7,13407,20260904009,1,new_replication
nested_probability_9,9,8,13324muw,20260904009,1,new_replication
nested_probability_9,9,9,13411,20260904009,1,new_replication
nested_probability_9,9,10,13306,20260904009,1,new_replication
nested_probability_9,9,11,13410,20260904009,1,new_replication
nested_probability_9,9,12,13314,20260904009,1,new_replication
nested_probability_9,9,13,13412,20260904009,1,new_replication
nested_probability_9,9,14,13302,20260904009,1,new_replication
nested_probability_9,9,15,13406,20260904009,1,new_replication
nested_probability_10,10,1,13310,20260904010,3,new_replication
nested_probability_10,10,2,13321,20260904010,3,new_replication
nested_probability_10,10,3,13307,20260904010,3,new_replication
nested_probability_10,10,4,13316m,20260904010,3,new_replication
nested_probability_10,10,5,13405,20260904010,3,new_replication
nested_probability_10,10,6,13409,20260904010,3,new_replication
nested_probability_10,10,7,13308,20260904010,3,new_replication
nested_probability_10,10,8,13323,20260904010,3,new_replication
nested_probability_10,10,9,13305,20260904010,3,new_replication
nested_probability_10,10,10,13320,20260904010,3,new_replication
nested_probability_10,10,11,13325,20260904010,3,new_replication
nested_probability_10,10,12,13313,20260904010,3,new_replication
nested_probability_10,10,13,13401,20260904010,3,new_replication
nested_probability_10,10,14,13315,20260904010,3,new_replication
nested_probability_10,10,15,13407,20260904010,3,new_replication
nested_probability_11,11,1,13403,20260904011,1,new_replication
nested_probability_11,11,2,13412,20260904011,1,new_replication
nested_probability_11,11,3,13307,20260904011,1,new_replication
nested_probability_11,11,4,13316m,20260904011,1,new_replication
nested_probability_11,11,5,13320,20260904011,1,new_replication
nested_probability_11,11,6,13317,20260904011,1,new_replication
nested_probability_11,11,7,13305,20260904011,1,new_replication
nested_probability_11,11,8,13410,20260904011,1,new_replication
nested_probability_11,11,9,13311,20260904011,1,new_replication
nested_probability_11,11,10,13318,20260904011,1,new_replication
nested_probability_11,11,11,13312,20260904011,1,new_replication
nested_probability_11,11,12,13414,20260904011,1,new_replication
nested_probability_11,11,13,13308,20260904011,1,new_replication
nested_probability_11,11,14,13325,20260904011,1,new_replication
nested_probability_11,11,15,13309,20260904011,1,new_replication
nested_probability_12,12,1,13305,20260904012,3,new_replication
nested_probability_12,12,2,13322,20260904012,3,new_replication
nested_probability_12,12,3,13304,20260904012,3,new_replication
nested_probability_12,12,4,13409,20260904012,3,new_replication
nested_probability_12,12,5,13314,20260904012,3,new_replication
nested_probability_12,12,6,13308,20260904012,3,new_replication
nested_probability_12,12,7,13320,20260904012,3,new_replication
nested_probability_12,12,8,13307,20260904012,3,new_replication
nested_probability_12,12,9,13413,20260904012,3,new_replication
nested_probability_12,12,10,13310,20260904012,3,new_replication
nested_probability_12,12,11,13312,20260904012,3,new_replication
nested_probability_12,12,12,13301,20260904012,3,new_replication
nested_probability_12,12,13,13401,20260904012,3,new_replication
nested_probability_12,12,14,13303,20260904012,3,new_replication
nested_probability_12,12,15,13414,20260904012,3,new_replication
nested_probability_13,13,1,13310,20260904013,1,new_replication
nested_probability_13,13,2,13402,20260904013,1,new_replication
nested_probability_13,13,3,13308,20260904013,1,new_replication
nested_probability_13,13,4,13322,20260904013,1,new_replication
nested_probability_13,13,5,13405,20260904013,1,new_replication
nested_probability_13,13,6,13304,20260904013,1,new_replication
nested_probability_13,13,7,13306,20260904013,1,new_replication
nested_probability_13,13,8,13317,20260904013,1,new_replication
nested_probability_13,13,9,13301,20260904013,1,new_replication
nested_probability_13,13,10,13401,20260904013,1,new_replication
nested_probability_13,13,11,13406,20260904013,1,new_replication
nested_probability_13,13,12,13413,20260904013,1,new_replication
nested_probability_13,13,13,13412,20260904013,1,new_replication
nested_probability_13,13,14,13409,20260904013,1,new_replication
nested_probability_13,13,15,13404,20260904013,1,new_replication
nested_probability_14,14,1,13314,20260904014,2,new_replication
nested_probability_14,14,2,13326,20260904014,2,new_replication
nested_probability_14,14,3,13324t,20260904014,2,new_replication
nested_probability_14,14,4,13413,20260904014,2,new_replication
nested_probability_14,14,5,13313,20260904014,2,new_replication
nested_probability_14,14,6,13406,20260904014,2,new_replication
nested_probability_14,14,7,13325,20260904014,2,new_replication
nested_probability_14,14,8,13404,20260904014,2,new_replication
nested_probability_14,14,9,13414,20260904014,2,new_replication
nested_probability_14,14,10,13318,20260904014,2,new_replication
nested_probability_14,14,11,13407,20260904014,2,new_replication
nested_probability_14,14,12,13402,20260904014,2,new_replication
nested_probability_14,14,13,13323,20260904014,2,new_replication
nested_probability_14,14,14,13320,20260904014,2,new_replication
nested_probability_14,14,15,13305,20260904014,2,new_replication
nested_probability_15,15,1,13325,20260904015,1,new_replication
nested_probability_15,15,2,13306,20260904015,1,new_replication
nested_probability_15,15,3,13303,20260904015,1,new_replication
nested_probability_15,15,4,13316m,20260904015,1,new_replication
nested_probability_15,15,5,13317,20260904015,1,new_replication
nested_probability_15,15,6,13307,20260904015,1,new_replication
nested_probability_15,15,7,13318,20260904015,1,new_replication
nested_probability_15,15,8,13309,20260904015,1,new_replication
nested_probability_15,15,9,13308,20260904015,1,new_replication
nested_probability_15,15,10,13409,20260904015,1,new_replication
nested_probability_15,15,11,13404,20260904015,1,new_replication
nested_probability_15,15,12,13321,20260904015,1,new_replication
nested_probability_15,15,13,13413,20260904015,1,new_replication
nested_probability_15,15,14,13410,20260904015,1,new_replication
nested_probability_15,15,15,13320,20260904015,1,new_replication
nested_probability_16,16,1,13311,20260904016,1,new_replication
nested_probability_16,16,2,13403,20260904016,1,new_replication
nested_probability_16,16,3,13319,20260904016,1,new_replication
nested_probability_16,16,4,13324muw,20260904016,1,new_replication
nested_probability_16,16,5,13326,20260904016,1,new_replication
nested_probability_16,16,6,13325,20260904016,1,new_replication
nested_probability_16,16,7,13304,20260904016,1,new_replication
nested_probability_16,16,8,13302,20260904016,1,new_replication
nested_probability_16,16,9,13413,20260904016,1,new_replication
nested_probability_16,16,10,13412,20260904016,1,new_replication
nested_probability_16,16,11,13316uwt,20260904016,1,new_replication
nested_probability_16,16,12,13410,20260904016,1,new_replication
nested_probability_16,16,13,13411,20260904016,1,new_replication
nested_probability_16,16,14,13303,20260904016,1,new_replication
nested_probability_16,16,15,13404,20260904016,1,new_replication
nested_probability_17,17,1,13319,20260904017,1,new_replication
nested_probability_17,17,2,13324t,20260904017,1,new_replication
nested_probability_17,17,3,13317,20260904017,1,new_replication
nested_probability_17,17,4,13409,20260904017,1,new_replication
nested_probability_17,17,5,13306,20260904017,1,new_replication
nested_probability_17,17,6,13411,20260904017,1,new_replication
nested_probability_17,17,7,13321,20260904017,1,new_replication
nested_probability_17,17,8,13401,20260904017,1,new_replication
nested_probability_17,17,9,13305,20260904017,1,new_replication
nested_probability_17,17,10,13303,20260904017,1,new_replication
nested_probability_17,17,11,13309,20260904017,1,new_replication
nested_probability_17,17,12,13311,20260904017,1,new_replication
nested_probability_17,17,13,13405,20260904017,1,new_replication
nested_probability_17,17,14,13302,20260904017,1,new_replication
nested_probability_17,17,15,13304,20260904017,1,new_replication
nested_probability_18,18,1,13307,20260904018,1,new_replication
nested_probability_18,18,2,13318,20260904018,1,new_replication
nested_probability_18,18,3,13319,20260904018,1,new_replication
nested_probability_18,18,4,13411,20260904018,1,new_replication
nested_probability_18,18,5,13403,20260904018,1,new_replication
nested_probability_18,18,6,13325,20260904018,1,new_replication
nested_probability_18,18,7,13320,20260904018,1,new_replication
nested_probability_18,18,8,13315,20260904018,1,new_replication
nested_probability_18,18,9,13312,20260904018,1,new_replication
nested_probability_18,18,10,13321,20260904018,1,new_replication
nested_probability_18,18,11,13406,20260904018,1,new_replication
nested_probability_18,18,12,13306,20260904018,1,new_replication
nested_probability_18,18,13,13303,20260904018,1,new_replication
nested_probability_18,18,14,13405,20260904018,1,new_replication
nested_probability_18,18,15,13324muw,20260904018,1,new_replication
nested_probability_19,19,1,13307,20260904019,1,new_replication
nested_probability_19,19,2,13314,20260904019,1,new_replication
nested_probability_19,19,3,13411,20260904019,1,new_replication
nested_probability_19,19,4,13323,20260904019,1,new_replication
nested_probability_19,19,5,13308,20260904019,1,new_replication
nested_probability_19,19,6,13408,20260904019,1,new_replication
nested_probability_19,19,7,13306,20260904019,1,new_replication
nested_probability_19,19,8,13320,20260904019,1,new_replication
nested_probability_19,19,9,13403,20260904019,1,new_replication
nested_probability_19,19,10,13410,20260904019,1,new_replication
nested_probability_19,19,11,13402,20260904019,1,new_replication
nested_probability_19,19,12,13316uwt,20260904019,1,new_replication
nested_probability_19,19,13,13404,20260904019,1,new_replication
nested_probability_19,19,14,13318,20260904019,1,new_replication
nested_probability_19,19,15,13304,20260904019,1,new_replication
nested_probability_20,20,1,13314,20260904020,1,new_replication
nested_probability_20,20,2,13324muw,20260904020,1,new_replication
nested_probability_20,20,3,13321,20260904020,1,new_replication
nested_probability_20,20,4,13402,20260904020,1,new_replication
nested_probability_20,20,5,13317,20260904020,1,new_replication
nested_probability_20,20,6,13313,20260904020,1,new_replication
nested_probability_20,20,7,13310,20260904020,1,new_replication
nested_probability_20,20,8,13308,20260904020,1,new_replication
nested_probability_20,20,9,13316m,20260904020,1,new_replication
nested_probability_20,20,10,13306,20260904020,1,new_replication
nested_probability_20,20,11,13325,20260904020,1,new_replication
nested_probability_20,20,12,13320,20260904020,1,new_replication
nested_probability_20,20,13,13401,20260904020,1,new_replication
nested_probability_20,20,14,13408,20260904020,1,new_replication
nested_probability_20,20,15,13326,20260904020,1,new_replication
