cell_id,scale,selection_replicate,sample_family,family_replicate,selection_role,nested_chain_id,nested_parent_cell_id,addition_rank_duty,relative_path,instance_file_sha256,duties_json,duty_set_sha256,target_fleet,known_partition_continuous_physical_upper_bound,known_duty_certificate_set_sha256,trip_count,peak_concurrency_lb,service_kwh_total,service_kwh_per_duty,duty_trip_count_max,duty_trip_count_cv,scheduled_intertrip_gap_median_min,service_span_min,direct_compatibility_density
k03_p17,3,17,probability,17,fixed_seed_probability_17,nested_probability_17,k02_p17,13317,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k03_p17_20260909.csv,00682bb3387e06430a9ffb8814803aa8288d8f07295eeaaf505aee5110b913fb,"[""13317"",""13319"",""13324t""]",26a4f580e8bce76b149174bff20a0ed4e45daf40fe08c26fcdc57cac17883828,3,True,2e89bffc6ae1c78cd74d40d1d67b0f3fb06da6a87afbd4635cab9b082e965c9a,82,3,1357.2729897,452.4243299,37,0.283913335,3.0,1174,0.095152062632
k03_p18,3,18,probability,18,fixed_seed_probability_18,nested_probability_18,k02_p18,13319,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k03_p18_20260909.csv,1ee7c526a2363e0b5c41f7925be14552838b4598d83534ed8324363a89700a05,"[""13307"",""13318"",""13319""]",c2d7a5057490fe1819627b4c231e1ea0d58ca5604eaa6520e8e49baaad2a7e54,3,True,22f2be4c60f36e80fdb90cbdd84932c028e56d298f2b59a1504cbd7e2c9bf4bc,75,3,1247.46598813,415.821996043,33,0.299332591,2.0,1227,0.105225225225
k03_p19,3,19,probability,19,fixed_seed_probability_19,nested_probability_19,k02_p19,13411,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k03_p19_20260909.csv,3195ca2b87b6f925afab10237a682d41c6f84c7c45351887b510b70fc00372e8,"[""13307"",""13314"",""13411""]",1756eda458be75c62633946d1f530481c60c061a809c4912d201701ecf9910e7,3,True,defcb605779e194f8355784257a91f4e66bfb2b90fd338a81f95091067ee0ac4,45,3,1118.91799328,372.972664427,16,0.054433105,7.0,958,0.10101010101
k03_p20,3,20,probability,20,fixed_seed_probability_20,nested_probability_20,k02_p20,13321,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k03_p20_20260909.csv,9ee412f6e67cb1da7f0dc7e499ced3e6077f5b04a5307ab8adb906ee9ca0b16d,"[""13314"",""13321"",""13324muw""]",c3698fe339250102e154efd6f91d34cdc5d98b1e8a354627303381513d3b5ff6,3,True,055f1236dd74c45bed44a441d1c7bb0fe54ac80bae4f14afc91574fa5acfd17e,55,3,996.54199442,332.180664807,22,0.14316378,3.5,1174,0.092255892256
k05_p7,5,7,probability,7,fixed_seed_probability_7,nested_probability_7,k04_p7,13303,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k05_p07_20260909.csv,3ad0827eca7bcafb4c544807af1507b7a7db278e333219e5de5694b0d439361f,"[""13303"",""13304"",""13310"",""13401"",""13412""]",6f3961ccde48bcc129a68a05e3d9eca1a3a8085bc51e58dd2d388ef628995cc1,5,True,a2d2dfe260042eebf0672dc7d5eb1923915c707595cc0fcdbb7c983f3f35a2a9,142,5,2817.14998078,563.429996156,54,0.544853835,3.0,1275,0.06103286385
k05_p8,5,8,probability,8,fixed_seed_probability_8,nested_probability_8,k04_p8,13313,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k05_p08_20260909.csv,ede3223ce10e434d7a6d048c09a5eca466398ec33a5ae49984cc082badb72827,"[""13305"",""13306"",""13313"",""13319"",""13405""]",cb91626379c7156b942890ffe0a77152a4cb6b2f57a26e95656d4675080a0ef4,5,True,d3e799ff25e385d60532f28e5cb53c272260e8426ba29bbbba3fd11a524c195a,137,5,2575.98397413,515.196794826,37,0.288851955,3.0,1237,0.076534993559
k05_p9,5,9,probability,9,fixed_seed_probability_9,nested_probability_9,k04_p9,13313,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k05_p09_20260909.csv,89495854606b6833324b36a3441122c7cdb50e52cb8a089f8a6d5c1d48c15cdb,"[""13310"",""13312"",""13313"",""13322"",""13409""]",59ffef0f71614090a436b0d9d50cee060dde39bb4e2835579b350be50657a2fa,5,True,4d1c647e771454cf70b3d5ef94837cc27daac02b38fa669435cf2cb24f1bc624,150,5,2892.24297048,578.448594096,46,0.341890171,3.0,1197,0.078568232662
k05_p10,5,10,probability,10,fixed_seed_probability_10,nested_probability_10,k04_p10,13405,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k05_p10_20260909.csv,6b149e398086f26366b3beb93f4ae066b1de9dc5741a0ff4403c6c0eb9c4e4cb,"[""13307"",""13310"",""13316m"",""13321"",""13405""]",31629a5eb9e252c95c09fab341f7008ff9093af44502b815987126f9b2c27128,5,True,aa1b4b5a78971329d3dde9ded5b648466fba3db8bdc4a39128317e8e9ee17b2c,97,5,1982.63798544,396.527597088,24,0.231901482,3.5,1212,0.073883161512
k05_p11,5,11,probability,11,fixed_seed_probability_11,nested_probability_11,k04_p11,13320,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k05_p11_20260909.csv,28cc03edec81c9d3226740b411e7d3e12350d07a21500e122d80d1a72c831d15,"[""13307"",""13316m"",""13320"",""13403"",""13412""]",3f87ea4a02f7c18f1931decd8f2d58fec003e72940d1b6d827bf4d702c073485,5,True,8b485dc1c5fdfd12a53ffddc2118a9f4ecab2dd46afc5f73ae391c710aa7b3fb,83,5,2108.14798418,421.629596836,23,0.196500077,7.0,1206,0.069056714664
k05_p12,5,12,probability,12,fixed_seed_probability_12,nested_probability_12,k04_p12,13314,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k05_p12_20260909.csv,1c28bed3ece94ec9a600c0d3886d9efc7534414dec1c4ac50d0c471e03dd1f95,"[""13304"",""13305"",""13314"",""13322"",""13409""]",39a4d6c3ba85809f38f7d52dc65c3dd3489353c3a135d9b76b4b42efcbcb2a2c,5,True,8783dea4e1cea24d5ee5a27444994bd10008179f604abce24ed001e37085041e,126,5,2369.63398662,473.926797324,37,0.314870388,3.0,1243,0.072761904762
k05_p13,5,13,probability,13,fixed_seed_probability_13,nested_probability_13,k04_p13,13405,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k05_p13_20260909.csv,278d529d964e988fd9452184d2ff2f579840dbd4769c53891cb6560ef0216f91,"[""13308"",""13310"",""13322"",""13402"",""13405""]",9b9639aa6af889e6eb6db4e2830eb4407f4d46a9b552e06feaf412a1e031a112,5,True,f97373b3e30685be70caea34d0f3b2a15b1f406df899ce7b9de07d08ebd96812,111,5,2588.67998216,517.735996432,31,0.289692526,5.0,1137,0.06420966421
k05_p14,5,14,probability,14,fixed_seed_probability_14,nested_probability_14,k04_p14,13313,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k05_p14_20260909.csv,a634cb421f9cf25ff76785f54f7804bc251905bb77449b6b256eed9ef47e34cf,"[""13313"",""13314"",""13324t"",""13326"",""13413""]",77e2431635935ea145bee8ee40d8e07df40e6cfc0e6eebb173459b00794108cc,5,True,3d331454dd29056a8d249a09698ab91a402a8a108d2c4173b84f8c8d0aca77c5,107,5,2234.48197948,446.896395896,37,0.376856919,4.0,1107,0.081643449127
k05_p15,5,15,probability,15,fixed_seed_probability_15,nested_probability_15,k04_p15,13317,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k05_p15_20260909.csv,1cfb7bd1872fd51b73a8874150da08df424d9b4d21a961174c945fe144ed9c3c,"[""13303"",""13306"",""13316m"",""13317"",""13325""]",851ce2afd2296b05c23e3a051a2e3ab1459f4a5f7a63d866d2390fc8ab424d78,5,True,269e81a3bd6b75fa69be64fff2919f3a7ea9df4f2b4affedbf6fad9055e89c71,186,5,2815.64297996,563.128595992,54,0.284184415,2.0,1257,0.083870967742
k05_p16,5,16,probability,16,fixed_seed_probability_16,nested_probability_16,k04_p16,13326,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k05_p16_20260909.csv,220fe55560405ecd59a7e9e9ee4df6484f816dedcfdc063b6d0948280e11ae3b,"[""13311"",""13319"",""13324muw"",""13326"",""13403""]",320e426064ec77c3a5f45ad9df299c3b4fa9d83770695fda9c5ca2a0e13bb901,5,True,5b6f0443c1740449a4d65dd510ed770872ebe3c5ec3b32ce41475538b05e5d13,93,5,1976.54998414,395.309996828,27,0.264699648,4.5,1257,0.069424964937
k05_p17,5,17,probability,17,fixed_seed_probability_17,nested_probability_17,k04_p17,13306,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k05_p17_20260909.csv,153174d9bdcb027c6dfa64984de95e7bf051e625c21fcea5be9bfd9f90f7933f,"[""13306"",""13317"",""13319"",""13324t"",""13409""]",8c312a0b26590c6f2b83c7e746485a964fbbcb1a6fc1502ddd1ce4d04b50727b,5,True,9c98e5bdbeae2d46fa2515987671f979c3a0c11414255fa2ff69c202a6ed48d4,129,5,2545.05098168,509.010196336,37,0.291497607,3.0,1229,0.066618217054
k05_p18,5,18,probability,18,fixed_seed_probability_18,nested_probability_18,k04_p18,13403,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k05_p18_20260909.csv,f156489b8074e877cd81610e78b52508124a557cc1f4d5da3c660cc237eec20a,"[""13307"",""13318"",""13319"",""13403"",""13411""]",047572453468d245093a8e2495fa2e052202ea147ec571f5a39dc1a5ea700828,5,True,a4c0ae618f396249d7d7850719cf8c91b363ae70e964099b4c677bded986a120,103,5,2426.68598113,485.337196226,33,0.384201144,6.0,1257,0.064724919094
k05_p19,5,19,probability,19,fixed_seed_probability_19,nested_probability_19,k04_p19,13308,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k05_p19_20260909.csv,e4988f72775847f4f8b462c7048bdb0c2a1d341c8e328ccf6cb20f0b3cc70f86,"[""13307"",""13308"",""13314"",""13323"",""13411""]",ff8648f516b9f3297232fc56189815af03e188f5a10d9cd313bced235f51adfc,5,True,2979df30543997cfec0d1b64b9b54e25de14c6485eefb649d9a03882801b7450,84,5,1803.37798908,360.675597816,31,0.453944666,6.0,1076,0.085771658061
k05_p20,5,20,probability,20,fixed_seed_probability_20,nested_probability_20,k04_p20,13317,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k05_p20_20260909.csv,00682155f122522a590bd74d5dcfaf6dce4bcc6e7657e6032a550497c505b855,"[""13314"",""13317"",""13321"",""13324muw"",""13402""]",c6ee6834cff4bbb081fbea1aba5e56a4798cd55db79ec15ad6333bf971a9b82f,5,True,adf065d0600fecae86f257e4d26aaa1310fb9e8299aacffbcb6deb39cf39a496,109,5,2293.43298744,458.686597488,37,0.361658777,5.0,1249,0.063540604825
k06_p7,6,7,probability,7,fixed_seed_probability_7,nested_probability_7,k05_p7,13321,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k06_p07_20260909.csv,a91cbe20ce5fa91b02edff75544a17121811d952ce8ff56bc8c7e84de00dcf97,"[""13303"",""13304"",""13310"",""13321"",""13401"",""13412""]",2883c1a217ad07b6eadeb0cd6cc8507e0cd5fbb0e5f199189f2751a20f3190b0,6,True,92f17ebd6ad849a589ffb9eec997fb2212eb57966581039758d025c8e8f2d995,164,6,3224.68297918,537.447163197,54,0.52410656,3.0,1275,0.060751159659
k06_p8,6,8,probability,8,fixed_seed_probability_8,nested_probability_8,k05_p8,13315,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k06_p08_20260909.csv,272b2af465cc02d8ce3133e159652a9cbb45498284e2484cee9c7c57b0f62147,"[""13305"",""13306"",""13313"",""13315"",""13319"",""13405""]",d98c3fe067c4cde5401b00e97a052ef304ec08b96767fc64d3dd650f04f12b58,6,True,26e23e29de39347eb15ec590a97bb98ee38ea1ae06078006101a97af67b84424,168,6,3002.05397379,500.342328965,37,0.26244533,3.0,1237,0.079412603365
k06_p9,6,9,probability,9,fixed_seed_probability_9,nested_probability_9,k05_p9,13318,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k06_p09_20260909.csv,6edb3d6dbc47f32f5c54ae195574b651c8974454ddebaf19d15dd1e527456ef3,"[""13310"",""13312"",""13313"",""13318"",""13322"",""13409""]",bb0bcf9a3d045919f827c365016bf6eb64e4c6aae275679cc6eb04f853b87c4b,6,True,5704c3071e018204be5a6dd7138b885efd758736bc3e0412aa41471a058766ad,183,6,3427.72396494,571.28732749,46,0.309166014,3.0,1197,0.076262535279
k06_p10,6,10,probability,10,fixed_seed_probability_10,nested_probability_10,k05_p10,13409,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k06_p10_20260909.csv,e4d65a00d181222e45b97cab2146b15e0e7af6740863515df5a2bbcd21d4f988,"[""13307"",""13310"",""13316m"",""13321"",""13405"",""13409""]",51092d2e604093ef823279cf29d717d76d7d60be1e200dc7d3beea7d009aa4d1,6,True,f663c253fcdb27b3f2e1cabaa45c8efee7883d733af1c5eafb3bb3cb3fd57c90,114,6,2698.97798144,449.829663573,24,0.221219653,6.0,1219,0.058220773172
k06_p11,6,11,probability,11,fixed_seed_probability_11,nested_probability_11,k05_p11,13317,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k06_p11_20260909.csv,70906b8437d877d75f6bec773bc179b61b51270f2abdfb4f87095a7899752b48,"[""13307"",""13316m"",""13317"",""13320"",""13403"",""13412""]",13370932ad12f310be5811a4553792cde6ffefcc0805ae54db70ab098dcf29ad,6,True,17063c5e3b2a1edb45d5e3dc7fdb3a43a824d610b5c9aafa752814abf5e01beb,120,6,2688.6989812,448.116496867,37,0.40824829,6.5,1206,0.064145658263
k06_p12,6,12,probability,12,fixed_seed_probability_12,nested_probability_12,k05_p12,13308,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k06_p12_20260909.csv,23fddea6c47fb77d29ead0f282cee92e9625d0d8d5fa17f11f6343b383a8b431,"[""13304"",""13305"",""13308"",""13314"",""13322"",""13409""]",43ef8e4ce5f384aa9dc56e872215c77b60a27504a6c38b4b81b3c6861c843421,6,True,bdb329b062047c3bb7ebfbe0475c51804e18cc27d2c9937386f67b5c38a99527,157,6,2896.60298302,482.767163837,37,0.288880012,3.0,1243,0.072186836518
k06_p13,6,13,probability,13,fixed_seed_probability_13,nested_probability_13,k05_p13,13304,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k06_p13_20260909.csv,698a6a0d851ce7177709294c99888a0ec7c68e190cdd65ad785b9fd65d02f881,"[""13304"",""13308"",""13310"",""13322"",""13402"",""13405""]",9e54ff945ab322f2769cdc2cef2a1bb5412fc4d0bdfb07ecf45fd11f84c121f4,6,True,472a216c973bfcc6beca88bf3cbb9c4b486fa27991217c26d30e727a37f9544b,148,6,3134.68297878,522.44716313,37,0.32656881,3.5,1272,0.057823129252
k06_p14,6,14,probability,14,fixed_seed_probability_14,nested_probability_14,k05_p14,13406,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k06_p14_20260909.csv,dce1e8b2233fd5d073a8823fe848864b48c2df4a81b3e99c3bf09db64d949bad,"[""13313"",""13314"",""13324t"",""13326"",""13406"",""13413""]",6ee87b14af93c705758331939f1dbd92cceb8ad6a750ca2733fe902c27cb0b3f,6,True,f8af3cf19fb85254b0e6a47229a30e7c31e039ba71219346f4f2778f57a50ebd,121,6,2824.09197598,470.681995997,37,0.389833931,7.0,1142,0.067355371901
k06_p15,6,15,probability,15,fixed_seed_probability_15,nested_probability_15,k05_p15,13307,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k06_p15_20260909.csv,88648f58db71679d998796c0cad54c7ec9b88a9bd1226999a43b322e0b6329a3,"[""13303"",""13306"",""13307"",""13316m"",""13317"",""13325""]",6d2cb42475b93c8d1860a9679c94aaab083678e15a7ada22449241361a5834d9,6,True,b34b6e7abe546da469f0df2d54efc7718fb1db9c5c124b08668cd5809d6b8154,201,6,3066.97597728,511.16266288,54,0.379449054,2.0,1257,0.083034825871
k06_p16,6,16,probability,16,fixed_seed_probability_16,nested_probability_16,k05_p16,13325,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k06_p16_20260909.csv,218ec706103510e227718e7caac6e115a889c3bd05854383b77caa6a6e50a89f,"[""13311"",""13319"",""13324muw"",""13325"",""13326"",""13403""]",e98a724b1aff07effe574701d9f0a926c89f8269d068fe50150b1891ed020352,6,True,842650a3770ef0346a28bea63433f4c768a9497bbbebe37743ec1e9fbb824c2a,135,6,2642.53097764,440.421829607,42,0.436031486,3.0,1257,0.071531232725
k06_p17,6,17,probability,17,fixed_seed_probability_17,nested_probability_17,k05_p17,13411,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k06_p17_20260909.csv,a63c6f66e262de635e6da4561a2f44a8fc7a2241853223f21d2021bf3daa8cb4,"[""13306"",""13317"",""13319"",""13324t"",""13409"",""13411""]",3f61e02414d6681cf8020b09b8c53aa5c48e408a6b1b3b9246db172b787c6d04,6,True,644f6d2f4c36635165bef562549370c9498ab8d169bdd07c73699fa6be4754ef,143,6,3134.66097818,522.443496363,37,0.342086009,4.0,1229,0.057913917069
k06_p18,6,18,probability,18,fixed_seed_probability_18,nested_probability_18,k05_p18,13325,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k06_p18_20260909.csv,9b91ccb190203c9ee2fe4599247d25da5ecee4995e61554f25039df923b112ae,"[""13307"",""13318"",""13319"",""13325"",""13403"",""13411""]",3b0c94347a4a45b07d139af7bb5bfd8efab3818bcb8cd6b0f5413f304bac9b30,6,True,2aad34f9df3ca55e8e581417cc764b8975f45e331f7d28a998ed3909c9738f0d,145,6,3092.66697463,515.444495772,42,0.44529513,3.0,1257,0.062739463602
k06_p19,6,19,probability,19,fixed_seed_probability_19,nested_probability_19,k05_p19,13408,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k06_p19_20260909.csv,74dd08cbeb3c85cc4db3732e11a9ff03e418eb5045609120b161bf4ab89cf410,"[""13307"",""13308"",""13314"",""13323"",""13408"",""13411""]",37a636ab881e0ef9448ad46f53fc95b0619636327b88e670802ffa2b72ee3241,6,True,5600af42ad49f036f7c5705bfb018ae694ed894ce97c9f5b1d5f752343ac1a37,95,6,2267.02798658,377.837997763,31,0.460398478,7.0,1076,0.073236282195
k06_p20,6,20,probability,20,fixed_seed_probability_20,nested_probability_20,k05_p20,13313,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k06_p20_20260909.csv,6902427a4e9b2f3ddf7708572cd764af535da7fca6b0dbc033718e3104375cdd,"[""13313"",""13314"",""13317"",""13321"",""13324muw"",""13402""]",b7dfd94b9f687ff35708802acf9a6f2d361045bd09272b598ce1753274ada07b,6,True,c9513480e79955448b3b6331321fc2610efb85f58f23d5faaea213aafa147ef7,146,6,2952.453976,492.075662667,37,0.376400868,3.0,1249,0.06669815777
